segment_id,celex,node_id,tipo,identificatore,llm_status,evidence,lamf_L1,lamf_L2,articolo_id
dlgs_36_2023__articolo__11,dlgs_36_2023,dlgs_36_2023,articolo,11,ok,"[{""testo"": ""Al personale impiegato nei lavori, servizi e forniture ... è applicato il contratto collettivo nazionale e territoriale in vigore"", ""layer"": ""L1"", ""motivo"": ""This establishes a substantive rule on which collective agreement must apply to workers in public contracts and concessions.""}, {""testo"": ""gli operatori economici possono indicare nella propria offerta il differente contratto collettivo"", ""layer"": ""L1"", ""motivo"": ""This sets a general right/option for economic operators regarding the applicable collective agreement.""}, {""testo"": ""le stazioni appaltanti e gli enti concedenti acquisiscono la dichiarazione"", ""layer"": ""L2"", ""motivo"": ""This prescribes an operational procedure that contracting authorities must follow before award.""}, {""testo"": ""la dichiarazione è anche verificata con le modalità di cui all’articolo 110"", ""layer"": ""L2"", ""motivo"": ""This refers to a verification mechanism, which is an implementation detail.""}, {""testo"": ""In caso di inadempienza contributiva ... la stazione appaltante trattiene dal certificato di pagamento"", ""layer"": ""L2"", ""motivo"": ""This sets an enforcement and payment-withholding procedure triggered by non-compliance.""}, {""testo"": ""le ritenute possono essere svincolate soltanto in sede di liquidazione finale"", ""layer"": ""L2"", ""motivo"": ""This provides a technical timing rule for release of retained amounts.""}, {""testo"": ""entro i successivi quindici giorni"", ""layer"": ""L2"", ""motivo"": ""This is a specific procedural deadline for curing wage-payment delays.""}]",65.0,35.0,11
dlgs_36_2023__articolo__12,dlgs_36_2023,dlgs_36_2023,articolo,12,ok,"[{""testo"": ""Rinvio esterno"", ""layer"": ""L1"", ""motivo"": ""This sets a general interpretive rule on how the code interacts with other laws, which is part of the legal framework.""}, {""testo"": ""Per quanto non espressamente previsto nel codice"", ""layer"": ""L1"", ""motivo"": ""This establishes the scope of the code by indicating when external rules apply.""}, {""testo"": ""alle procedure di affidamento e alle altre attività amministrative in materia di contratti si applicano le disposizioni di cui alla legge 7 agosto 1990, n. 241"", ""layer"": ""L2"", ""motivo"": ""This specifies the procedural law applicable to procurement and administrative activities, which is operational in nature.""}, {""testo"": ""alla stipula del contratto e alla fase di esecuzione si applicano le disposizioni del codice civile"", ""layer"": ""L2"", ""motivo"": ""This identifies the rules governing contract conclusion and performance, providing an application rule rather than a core principle.""}]",80.0,20.0,12
dlgs_36_2023__articolo__13,dlgs_36_2023,dlgs_36_2023,articolo,13,ok,"[{""testo"": ""Ambito di applicazione"", ""layer"": ""L1"", ""motivo"": ""This heading and the first paragraphs define the scope of application of the code, which is a core framework element.""}, {""testo"": ""Le disposizioni del codice si applicano ai contratti di appalto e di concessione"", ""layer"": ""L1"", ""motivo"": ""This sets the basic scope of the legislation by identifying the types of contracts covered.""}, {""testo"": ""Le disposizioni del codice non si applicano ai contratti esclusi, ai contratti attivi e ai contratti a titolo gratuito"", ""layer"": ""L1"", ""motivo"": ""This establishes the main exclusions from the code's scope, which is a fundamental definitional rule.""}, {""testo"": ""Con regolamento del Ministro ... sono disciplinate, le procedure di scelta del contraente e l'esecuzione del contratto da svolgersi all'estero"", ""layer"": ""L2"", ""motivo"": ""This delegates the regulation of specific procedures and execution rules, which is operational and procedural in nature.""}, {""testo"": ""Le definizioni del codice sono contenute nell’allegato I.1"", ""layer"": ""L1"", ""motivo"": ""This points to the location of the code's definitions, which are part of the core conceptual framework.""}, {""testo"": ""L’allegato I.12 individua le modalità di affidamento delle opere di urbanizzazione a scomputo del contributo di costruzione"", ""layer"": ""L2"", ""motivo"": ""This refers to technical modalities for awarding specific works, which is an operational implementation detail.""}]",70.0,30.0,13
dlgs_36_2023__articolo__14,dlgs_36_2023,dlgs_36_2023,articolo,14,ok,"[{""testo"": ""Le soglie di rilevanza europea sono: a) euro 5.382.000 ... b) euro 140.000 ... c) euro 215.000 ... d) euro 750.000"", ""layer"": ""L2"", ""motivo"": ""This sets quantitative thresholds that operationalize when the code applies.""}, {""testo"": ""Le soglie di cui al presente articolo sono periodicamente rideterminate con provvedimento della Commissione europea"", ""layer"": ""L1"", ""motivo"": ""This contains a delegation to the Commission to update the thresholds.""}, {""testo"": ""Il calcolo dell’importo stimato ... è basato sull'importo totale pagabile ... valutato dalla stazione appaltante"", ""layer"": ""L2"", ""motivo"": ""This specifies the technical method for calculating estimated contract value.""}, {""testo"": ""La scelta del metodo per il calcolo ... non può essere fatta per evitare l’applicazione delle disposizioni del codice"", ""layer"": ""L2"", ""motivo"": ""This is an operational anti-circumvention rule governing application of the thresholds.""}, {""testo"": ""l’importo mensile moltiplicato per quarantotto"", ""layer"": ""L2"", ""motivo"": ""This provides a concrete calculation formula.""}, {""testo"": ""L’operatore economico ... deve possedere i requisiti di qualificazione e capacità prescritti dal codice per ciascuna prestazione"", ""layer"": ""L1"", ""motivo"": ""This establishes a general qualification obligation for economic operators.""}]",20.0,80.0,14
dlgs_36_2023__articolo__15,dlgs_36_2023,dlgs_36_2023,articolo,15,ok,"[{""testo"": ""Le stazioni appaltanti e gli enti concedenti nominano ... un responsabile unico del progetto (RUP)"", ""layer"": ""L1"", ""motivo"": ""This establishes an institutional role and assigns a core responsibility within the procurement framework.""}, {""testo"": ""Il RUP assicura il completamento dell’intervento pubblico nei termini previsti"", ""layer"": ""L1"", ""motivo"": ""This states the general duty and purpose of the RUP, which is a հիմնական obligation.""}, {""testo"": ""in possesso dei requisiti di cui all’allegato I.2 e di competenze professionali adeguate"", ""layer"": ""L2"", ""motivo"": ""This specifies technical qualification requirements for appointment.""}, {""testo"": ""Il nominativo del RUP è indicato nel bando o nell’avviso di indizione della gara"", ""layer"": ""L2"", ""motivo"": ""This sets a procedural disclosure requirement tied to the procurement process.""}, {""testo"": ""possono individuare modelli organizzativi"", ""layer"": ""L2"", ""motivo"": ""This provides an operational organizational option for implementing the RUP function.""}, {""testo"": ""destinare risorse finanziarie non superiori all’1 per cento dell’importo posto a base di gara"", ""layer"": ""L2"", ""motivo"": ""This contains a quantitative benchmark and operational funding limit.""}, {""testo"": ""adottano un piano di formazione per il personale"", ""layer"": ""L2"", ""motivo"": ""This imposes a concrete procedural/administrative measure for implementation.""}, {""testo"": ""è vietata l’attribuzione dei compiti di RUP ... allo stesso contraente generale"", ""layer"": ""L1"", ""motivo"": ""This creates a substantive rule on incompatibility and allocation of responsibilities.""}]",35.0,65.0,15
dlgs_36_2023__articolo__16,dlgs_36_2023,dlgs_36_2023,articolo,16,ok,"[{""testo"": ""Si ha conflitto di interessi quando..."", ""layer"": ""L1"", ""motivo"": ""This defines the concept of conflict of interest, which is a core definitional element.""}, {""testo"": ""ha direttamente o indirettamente un interesse finanziario, economico o altro interesse personale"", ""layer"": ""L1"", ""motivo"": ""This specifies the substantive elements of the definition by identifying the relevant interests.""}, {""testo"": ""deve essere provata da chi invoca il conflitto sulla base di presupposti specifici e documentati"", ""layer"": ""L2"", ""motivo"": ""This sets an evidentiary/procedural rule for proving the conflict.""}, {""testo"": ""ne dà comunicazione alla stazione appaltante o all'ente concedente e si astiene dal partecipare"", ""layer"": ""L2"", ""motivo"": ""This imposes an operational procedure and conduct requirement on affected personnel.""}, {""testo"": ""adottano misure adeguate per individuare, prevenire e risolvere in modo efficace ogni ipotesi di conflitto di interesse"", ""layer"": ""L2"", ""motivo"": ""This establishes compliance and enforcement duties for contracting authorities.""}]",35.0,65.0,16
dlgs_36_2023__articolo__17,dlgs_36_2023,dlgs_36_2023,articolo,17,ok,"[{""testo"": ""individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte"", ""layer"": ""L2"", ""motivo"": ""This sets an operational requirement for how the contracting decision must be structured.""}, {""testo"": ""concludono le procedure di selezione nei termini indicati nell’allegato I.3"", ""layer"": ""L2"", ""motivo"": ""This establishes a procedural deadline for completing selection procedures.""}, {""testo"": ""Il superamento dei termini costituisce silenzio inadempimento"", ""layer"": ""L2"", ""motivo"": ""This specifies the legal consequence of missing the procedural deadline.""}, {""testo"": ""Ogni concorrente può presentare una sola offerta"", ""layer"": ""L2"", ""motivo"": ""This is a concrete operational rule governing the tender process.""}, {""testo"": ""L’aggiudicazione non equivale ad accettazione dell’offerta"", ""layer"": ""L1"", ""motivo"": ""This states a general legal effect defining the nature of the award decision.""}, {""testo"": ""L’esecuzione d'urgenza è effettuata quando ricorrono eventi oggettivamente imprevedibili"", ""layer"": ""L2"", ""motivo"": ""This sets technical conditions for an exceptional procedure.""}, {""testo"": ""La pendenza di un contenzioso non può mai giustificare la sospensione della procedura"", ""layer"": ""L2"", ""motivo"": ""This is an enforcement/procedural rule governing how disputes affect the procurement process.""}]",35.0,65.0,17
dlgs_36_2023__articolo__18,dlgs_36_2023,dlgs_36_2023,articolo,18,ok,"[{""testo"": ""Il contratto è stipulato, a pena di nullità, in forma scritta"", ""layer"": ""L2"", ""motivo"": ""This sets a concrete formal requirement for contract conclusion, which is an operational rule.""}, {""testo"": ""in modalità elettronica nel rispetto delle pertinenti disposizioni del codice dell'amministrazione digitale"", ""layer"": ""L2"", ""motivo"": ""This specifies the technical mode of execution and compliance with digital procedures.""}, {""testo"": ""la stipula del contratto ha luogo entro i successivi sessanta giorni"", ""layer"": ""L2"", ""motivo"": ""This establishes a precise deadline for performance.""}, {""testo"": ""Il contratto non può essere stipulato prima di trentacinque giorni"", ""layer"": ""L2"", ""motivo"": ""This creates a procedural standstill period with a quantitative time threshold.""}, {""testo"": ""Se è proposto ricorso avverso l’aggiudicazione con contestuale domanda cautelare"", ""layer"": ""L2"", ""motivo"": ""This describes a procedural trigger and its legal effect on contract signing.""}, {""testo"": ""la stipula del contratto non avviene nel termine"", ""layer"": ""L2"", ""motivo"": ""This regulates consequences and enforcement for missed timing obligations.""}, {""testo"": ""costituisce violazione del dovere di buona fede"", ""layer"": ""L1"", ""motivo"": ""This states a general legal obligation/principle rather than a technical procedure.""}, {""testo"": ""Il contratto è sottoposto alla condizione risolutiva"", ""layer"": ""L2"", ""motivo"": ""This sets an operational legal condition tied to approval timing.""}, {""testo"": ""Le stazioni appaltanti e gli enti concedenti hanno facoltà di stipulare contratti di assicurazione"", ""layer"": ""L1"", ""motivo"": ""This allocates a general power/faculty to contracting authorities.""}, {""testo"": ""Con la tabella di cui all’allegato I.4 al codice è individuato il valore dell’imposta di bollo"", ""layer"": ""L2"", ""motivo"": ""This provides a technical benchmark and calculation method for the stamp duty.""}]",35.0,65.0,18
dlgs_36_2023__articolo__19,dlgs_36_2023,dlgs_36_2023,articolo,19,ok,"[{""testo"": ""Principi e diritti digitali"", ""layer"": ""L1"", ""motivo"": ""This states the general subject matter and core principles/rights framework.""}, {""testo"": ""garantiscono l’esercizio dei diritti di cittadinanza digitale"", ""layer"": ""L1"", ""motivo"": ""This establishes a substantive right that public bodies must ensure.""}, {""testo"": ""operano secondo i principi di neutralità tecnologica, di trasparenza, nonché di protezione dei dati personali e di sicurezza informatica"", ""layer"": ""L1"", ""motivo"": ""This sets overarching principles governing the digital procurement system.""}, {""testo"": ""ciascun dato è fornito una sola volta a un solo sistema informativo"", ""layer"": ""L2"", ""motivo"": ""This is an operational rule specifying how data exchange must work.""}, {""testo"": ""Le attività e i procedimenti amministrativi ... sono svolti digitalmente"", ""layer"": ""L2"", ""motivo"": ""This prescribes the technical mode of carrying out procedures.""}, {""testo"": ""adottano le necessarie misure organizzative e di revisione dei processi"", ""layer"": ""L2"", ""motivo"": ""This describes implementation measures and process adjustments.""}, {""testo"": ""adottano misure tecniche e organizzative a presidio della sicurezza informatica e della protezione dei dati personali"", ""layer"": ""L2"", ""motivo"": ""This specifies concrete compliance and security measures.""}, {""testo"": ""I gestori delle piattaforme assicurano la conformità delle medesime alle regole tecniche di cui all’articolo 26"", ""layer"": ""L2"", ""motivo"": ""This is a technical conformity requirement tied to implementation rules.""}]",70.0,30.0,19
dlgs_36_2023__articolo__20,dlgs_36_2023,dlgs_36_2023,articolo,20,ok,"[{""testo"": ""Principi in materia di trasparenza"", ""layer"": ""L1"", ""motivo"": ""This states a general principle, which is a framework-level element.""}, {""testo"": ""i dati, le informazioni e gli atti relativi ai contratti pubblici sono indicati nell’articolo 28"", ""layer"": ""L2"", ""motivo"": ""This cross-references a specific operational rule for what must be published.""}, {""testo"": ""sono pubblicati secondo quanto stabilito dal decreto legislativo 14 marzo 2013, n. 33"", ""layer"": ""L2"", ""motivo"": ""This refers to the technical procedure and modality of publication.""}, {""testo"": ""Le comunicazioni e l’interscambio di dati ... avvengono nel rispetto del principio di unicità del luogo di pubblicazione"", ""layer"": ""L2"", ""motivo"": ""This sets an operational rule for data exchange and publication workflow.""}, {""testo"": ""Le regioni e le province autonome assicurano la trasparenza nel settore dei contratti pubblici"", ""layer"": ""L1"", ""motivo"": ""This assigns a general obligation to public authorities, which is a core normative duty.""}]",30.0,70.0,20
dlgs_36_2023__articolo__21,dlgs_36_2023,dlgs_36_2023,articolo,21,ok,"[{""testo"": ""Il ciclo di vita digitale dei contratti pubblici, di norma, si articola in programmazione, progettazione, pubblicazione, affidamento ed esecuzione"", ""layer"": ""L2"", ""motivo"": ""This sets out the operational phases of the procurement lifecycle.""}, {""testo"": ""sono gestite ... attraverso piattaforme e servizi digitali fra loro interoperabili"", ""layer"": ""L2"", ""motivo"": ""This specifies the technical means and interoperability requirement for implementation.""}, {""testo"": ""i soggetti che intervengono nel ciclo di vita digitale dei contratti pubblici operano secondo le disposizioni della presente Parte"", ""layer"": ""L1"", ""motivo"": ""This establishes a general obligation for the actors involved.""}, {""testo"": ""procedono all’atto dell’avvio della procedura secondo le disposizioni del codice ... e dell’articolo 3 della legge 13 agosto 2010, n. 136"", ""layer"": ""L2"", ""motivo"": ""This refers to procedural compliance at the start of the process, which is operational in nature.""}]",20.0,80.0,21
dlgs_36_2023__articolo__22,dlgs_36_2023,dlgs_36_2023,articolo,22,ok,"[{""testo"": ""L’ecosistema nazionale di approvvigionamento digitale (e-procurement) è costituito dalle piattaforme e dai servizi digitali infrastrutturali abilitanti la gestione del ciclo di vita dei contratti pubblici"", ""layer"": ""L1"", ""motivo"": ""This defines the national digital procurement ecosystem and its constituent elements, which is a framework-level concept.""}, {""testo"": ""consentono, in particolare: a) la redazione o l’acquisizione degli atti in formato nativo digitale; b) la pubblicazione e la trasmissione dei dati e documenti"", ""layer"": ""L2"", ""motivo"": ""This lists operational functions and technical capabilities that the platforms must enable.""}, {""testo"": ""l’accesso elettronico alla documentazione di gara; d) la presentazione del documento di gara unico europeo in formato digitale e l’interoperabilità"", ""layer"": ""L2"", ""motivo"": ""This specifies procedural and technical requirements for digital procurement processes.""}, {""testo"": ""l’apertura, la gestione e la conservazione del fascicolo di gara in modalità digitale; g) il controllo tecnico, contabile e amministrativo dei contratti"", ""layer"": ""L2"", ""motivo"": ""This describes concrete operational processes for managing procurement files and contract oversight.""}, {""testo"": ""Le basi di dati di interesse nazionale alimentano l’ecosistema nazionale di approvvigionamento digitale"", ""layer"": ""L2"", ""motivo"": ""This sets a functional integration rule for data sources within the digital procurement ecosystem.""}]",30.0,70.0,22
dlgs_36_2023__articolo__23,dlgs_36_2023,dlgs_36_2023,articolo,23,ok,"[{""testo"": ""L’ANAC è titolare in via esclusiva della Banca dati nazionale dei contratti pubblici"", ""layer"": ""L1"", ""motivo"": ""This establishes the institutional ownership and core role of ANAC.""}, {""testo"": ""L’ANAC individua con propri provvedimenti le sezioni in cui si articola la banca dati"", ""layer"": ""L2"", ""motivo"": ""This delegates technical-operational specification of the database structure.""}, {""testo"": ""La Banca dati nazionale dei contratti pubblici è interoperabile con le piattaforme di approvvigionamento digitale"", ""layer"": ""L2"", ""motivo"": ""This sets an operational interoperability requirement.""}, {""testo"": ""sono tenuti ad accreditarsi ... a sviluppare le interfacce applicative e a rendere disponibili le proprie basi dati"", ""layer"": ""L2"", ""motivo"": ""This imposes concrete technical compliance obligations.""}, {""testo"": ""Con proprio provvedimento l’ANAC individua le informazioni che le stazioni appaltanti ... sono tenuti a trasmettere"", ""layer"": ""L2"", ""motivo"": ""This specifies reporting content and procedural implementation.""}, {""testo"": ""L’ANAC effettua una segnalazione all’AGID per l’esercizio dei poteri sanzionatori"", ""layer"": ""L2"", ""motivo"": ""This describes an enforcement and reporting mechanism.""}]",30.0,70.0,23
dlgs_36_2023__articolo__24,dlgs_36_2023,dlgs_36_2023,articolo,24,ok,"[{""testo"": ""consente la verifica dell'assenza delle cause di esclusione"", ""layer"": ""L2"", ""motivo"": ""This sets an operational compliance-verification function for the economic operator file.""}, {""testo"": ""i dati e i documenti contenuti nel fascicolo virtuale ... sono aggiornati automaticamente mediante interoperabilità"", ""layer"": ""L2"", ""motivo"": ""This specifies a technical process for automatic updating and interoperability.""}, {""testo"": ""garantiscono ... la disponibilità in tempo reale delle informazioni e delle certificazioni digitali necessarie"", ""layer"": ""L2"", ""motivo"": ""This imposes a technical real-time availability requirement for data exchange.""}, {""testo"": ""L'ANAC può predisporre elenchi aggiornati di operatori economici già accertati"", ""layer"": ""L2"", ""motivo"": ""This concerns an operational mechanism for maintaining updated lists and using prior checks.""}, {""testo"": ""l'ANAC individua, con proprio provvedimento"", ""layer"": ""L1"", ""motivo"": ""This grants a regulatory power to ANAC to determine the data categories, which is an institutional delegation.""}, {""testo"": ""le tipologie di dati da inserire nel fascicolo virtuale dell’operatore economico"", ""layer"": ""L2"", ""motivo"": ""This specifies the technical content of the file and the data categories to be included.""}]",40.0,60.0,24
