segment_id,celex,node_id,articolo_id,llm_status,pct__Foundational_and_structural_provisions,pct__Scope_and_exclusion_clauses,pct__Exception_and_derogation_clauses,pct__Implementation_and_procedural_rules,pct__Cross-reference_and_incorporation_clauses,pct__Technical_amending_provisions
dlgs_36_2023__articolo__14,dlgs_36_2023,dlgs_36_2023,14,ok,12.0,8.0,7.0,68.0,5.0,0.0
dlgs_36_2023__articolo__15,dlgs_36_2023,dlgs_36_2023,15,ok,18.0,5.0,7.0,58.0,7.0,5.0
dlgs_36_2023__articolo__16,dlgs_36_2023,dlgs_36_2023,16,ok,55.0,0.0,15.0,30.0,0.0,0.0
dlgs_36_2023__articolo__17,dlgs_36_2023,dlgs_36_2023,17,ok,10.0,0.0,15.0,55.0,15.0,5.0
dlgs_36_2023__articolo__18,dlgs_36_2023,dlgs_36_2023,18,ok,15.0,5.0,20.0,35.0,15.0,10.0
dlgs_36_2023__articolo__19,dlgs_36_2023,dlgs_36_2023,19,ok,40.0,5.0,5.0,35.0,15.0,0.0
dlgs_36_2023__articolo__20,dlgs_36_2023,dlgs_36_2023,20,ok,35.0,0.0,0.0,45.0,20.0,0.0
dlgs_36_2023__articolo__21,dlgs_36_2023,dlgs_36_2023,21,ok,45.0,0.0,0.0,35.0,20.0,0.0
dlgs_36_2023__articolo__22,dlgs_36_2023,dlgs_36_2023,22,ok,55.0,0.0,0.0,25.0,20.0,0.0
dlgs_36_2023__articolo__23,dlgs_36_2023,dlgs_36_2023,23,ok,20.0,0.0,0.0,60.0,20.0,0.0
dlgs_36_2023__articolo__24,dlgs_36_2023,dlgs_36_2023,24,ok,35.0,10.0,0.0,45.0,10.0,0.0
dlgs_36_2023__articolo__25,dlgs_36_2023,dlgs_36_2023,25,ok,55.0,0.0,5.0,35.0,5.0,0.0
dlgs_36_2023__articolo__26,dlgs_36_2023,dlgs_36_2023,26,ok,5.0,0.0,0.0,80.0,15.0,0.0
dlgs_36_2023__articolo__27,dlgs_36_2023,dlgs_36_2023,27,ok,20.0,0.0,0.0,70.0,10.0,0.0
dlgs_36_2023__articolo__28,dlgs_36_2023,dlgs_36_2023,28,ok,25.0,15.0,10.0,45.0,5.0,0.0
dlgs_36_2023__articolo__29,dlgs_36_2023,dlgs_36_2023,29,ok,0.0,0.0,5.0,45.0,50.0,0.0
dlgs_36_2023__articolo__30,dlgs_36_2023,dlgs_36_2023,30,ok,10.0,0.0,0.0,75.0,5.0,10.0
dlgs_36_2023__articolo__31,dlgs_36_2023,dlgs_36_2023,31,ok,55.0,0.0,0.0,15.0,30.0,0.0
dlgs_36_2023__articolo__32,dlgs_36_2023,dlgs_36_2023,32,ok,18.0,4.0,8.0,50.0,18.0,2.0
dlgs_36_2023__articolo__33,dlgs_36_2023,dlgs_36_2023,33,ok,12.0,10.0,8.0,58.0,12.0,0.0
dlgs_36_2023__articolo__34,dlgs_36_2023,dlgs_36_2023,34,ok,5.0,0.0,10.0,70.0,0.0,15.0
dlgs_36_2023__articolo__35,dlgs_36_2023,dlgs_36_2023,35,ok,15.0,10.0,35.0,25.0,15.0,0.0
dlgs_36_2023__articolo__36,dlgs_36_2023,dlgs_36_2023,36,ok,5.0,0.0,10.0,65.0,20.0,0.0
dlgs_36_2023__articolo__37,dlgs_36_2023,dlgs_36_2023,37,ok,18.0,14.0,10.0,40.0,16.0,2.0
dlgs_36_2023__articolo__38,dlgs_36_2023,dlgs_36_2023,38,ok,18.0,14.0,10.0,48.0,8.0,2.0
dlgs_36_2023__articolo__39,dlgs_36_2023,dlgs_36_2023,39,ok,28.0,4.0,7.0,41.0,20.0,0.0
dlgs_36_2023__articolo__40,dlgs_36_2023,dlgs_36_2023,40,ok,5.0,10.0,15.0,50.0,10.0,10.0
dlgs_36_2023__articolo__41,dlgs_36_2023,dlgs_36_2023,41,ok,45.0,7.0,8.0,30.0,10.0,0.0
dlgs_36_2023__articolo__42,dlgs_36_2023,dlgs_36_2023,42,ok,10.0,0.0,5.0,70.0,10.0,5.0
dlgs_36_2023__articolo__43,dlgs_36_2023,dlgs_36_2023,43,ok,10.0,18.0,12.0,40.0,20.0,0.0
dlgs_36_2023__articolo__44,dlgs_36_2023,dlgs_36_2023,44,ok,15.0,10.0,10.0,60.0,5.0,0.0
dlgs_36_2023__articolo__45,dlgs_36_2023,dlgs_36_2023,45,ok,25.0,5.0,15.0,50.0,2.0,3.0
dlgs_36_2023__articolo__46,dlgs_36_2023,dlgs_36_2023,46,ok,10.0,5.0,10.0,55.0,20.0,0.0
dlgs_36_2023__articolo__47,dlgs_36_2023,dlgs_36_2023,47,ok,25.0,20.0,20.0,25.0,10.0,0.0
dlgs_36_2023__articolo__48,dlgs_36_2023,dlgs_36_2023,48,ok,50.0,15.0,10.0,0.0,25.0,0.0
dlgs_36_2023__articolo__49,dlgs_36_2023,dlgs_36_2023,49,ok,40.0,0.0,45.0,10.0,5.0,0.0
dlgs_36_2023__articolo__50,dlgs_36_2023,dlgs_36_2023,50,ok,10.0,15.0,10.0,45.0,15.0,5.0
dlgs_36_2023__articolo__51,dlgs_36_2023,dlgs_36_2023,51,ok,0.0,0.0,15.0,85.0,0.0,0.0
dlgs_36_2023__articolo__52,dlgs_36_2023,dlgs_36_2023,52,ok,5.0,20.0,0.0,75.0,0.0,0.0
dlgs_36_2023__articolo__53,dlgs_36_2023,dlgs_36_2023,53,ok,5.0,20.0,35.0,25.0,15.0,0.0
dlgs_36_2023__articolo__54,dlgs_36_2023,dlgs_36_2023,54,ok,5.0,10.0,35.0,40.0,5.0,5.0
dlgs_36_2023__articolo__55,dlgs_36_2023,dlgs_36_2023,55,ok,0.0,35.0,40.0,25.0,0.0,0.0
dlgs_36_2023__articolo__56,dlgs_36_2023,dlgs_36_2023,56,ok,5.0,70.0,15.0,0.0,10.0,0.0
dlgs_36_2023__articolo__57,dlgs_36_2023,dlgs_36_2023,57,ok,45.0,10.0,5.0,25.0,15.0,0.0
dlgs_36_2023__articolo__58,dlgs_36_2023,dlgs_36_2023,58,ok,40.0,0.0,20.0,40.0,0.0,0.0
dlgs_36_2023__articolo__59,dlgs_36_2023,dlgs_36_2023,59,ok,20.0,10.0,20.0,45.0,0.0,5.0
dlgs_36_2023__articolo__60,dlgs_36_2023,dlgs_36_2023,60,ok,10.0,0.0,20.0,45.0,15.0,10.0
dlgs_36_2023__articolo__61,dlgs_36_2023,dlgs_36_2023,61,ok,20.0,10.0,35.0,20.0,10.0,5.0
dlgs_36_2023__articolo__62,dlgs_36_2023,dlgs_36_2023,62,ok,12.0,14.0,10.0,58.0,6.0,0.0
dlgs_36_2023__articolo__63,dlgs_36_2023,dlgs_36_2023,63,ok,28.0,6.0,9.0,42.0,12.0,3.0
dlgs_36_2023__articolo__64,dlgs_36_2023,dlgs_36_2023,64,ok,40.0,10.0,0.0,40.0,10.0,0.0
dlgs_36_2023__articolo__65,dlgs_36_2023,dlgs_36_2023,65,ok,45.0,35.0,5.0,15.0,0.0,0.0
dlgs_36_2023__articolo__66,dlgs_36_2023,dlgs_36_2023,66,ok,25.0,20.0,0.0,25.0,30.0,0.0
dlgs_36_2023__articolo__67,dlgs_36_2023,dlgs_36_2023,67,ok,20.0,15.0,20.0,30.0,15.0,0.0
dlgs_36_2023__articolo__68,dlgs_36_2023,dlgs_36_2023,68,ok,18.0,10.0,12.0,40.0,18.0,2.0
dlgs_36_2023__articolo__69,dlgs_36_2023,dlgs_36_2023,69,ok,20.0,10.0,0.0,0.0,70.0,0.0
dlgs_36_2023__articolo__70,dlgs_36_2023,dlgs_36_2023,70,ok,18.0,8.0,14.0,55.0,5.0,0.0
dlgs_36_2023__articolo__71,dlgs_36_2023,dlgs_36_2023,71,ok,5.0,0.0,17.0,65.0,5.0,8.0
dlgs_36_2023__articolo__72,dlgs_36_2023,dlgs_36_2023,72,ok,5.0,0.0,15.0,65.0,15.0,0.0
dlgs_36_2023__articolo__73,dlgs_36_2023,dlgs_36_2023,73,ok,18.0,6.0,12.0,54.0,10.0,0.0
dlgs_36_2023__articolo__74,dlgs_36_2023,dlgs_36_2023,74,ok,10.0,0.0,15.0,70.0,5.0,0.0
dlgs_36_2023__articolo__75,dlgs_36_2023,dlgs_36_2023,75,ok,10.0,0.0,5.0,65.0,20.0,0.0
dlgs_36_2023__articolo__76,dlgs_36_2023,dlgs_36_2023,76,ok,10.0,5.0,45.0,40.0,0.0,0.0
dlgs_36_2023__articolo__77,dlgs_36_2023,dlgs_36_2023,77,ok,10.0,0.0,15.0,75.0,0.0,0.0
dlgs_36_2023__articolo__78,dlgs_36_2023,dlgs_36_2023,78,ok,0.0,0.0,20.0,60.0,20.0,0.0
dlgs_36_2023__articolo__79,dlgs_36_2023,dlgs_36_2023,79,ok,0.0,0.0,0.0,0.0,100.0,0.0
dlgs_36_2023__articolo__80,dlgs_36_2023,dlgs_36_2023,80,ok,0.0,0.0,0.0,20.0,80.0,0.0
dlgs_36_2023__articolo__81,dlgs_36_2023,dlgs_36_2023,81,ok,10.0,0.0,15.0,55.0,20.0,0.0
dlgs_36_2023__articolo__82,dlgs_36_2023,dlgs_36_2023,82,ok,5.0,0.0,0.0,55.0,0.0,40.0
dlgs_36_2023__articolo__83,dlgs_36_2023,dlgs_36_2023,83,ok,10.0,5.0,10.0,45.0,25.0,5.0
dlgs_36_2023__articolo__84,dlgs_36_2023,dlgs_36_2023,84,ok,5.0,10.0,5.0,55.0,15.0,10.0
dlgs_36_2023__articolo__85,dlgs_36_2023,dlgs_36_2023,85,ok,18.0,0.0,12.0,55.0,15.0,0.0
dlgs_36_2023__articolo__86,dlgs_36_2023,dlgs_36_2023,86,ok,0.0,0.0,0.0,70.0,20.0,10.0
dlgs_36_2023__articolo__87,dlgs_36_2023,dlgs_36_2023,87,ok,5.0,0.0,0.0,65.0,30.0,0.0
dlgs_36_2023__articolo__88,dlgs_36_2023,dlgs_36_2023,88,ok,5.0,5.0,15.0,75.0,0.0,0.0
dlgs_36_2023__articolo__89,dlgs_36_2023,dlgs_36_2023,89,ok,5.0,0.0,0.0,75.0,15.0,5.0
dlgs_36_2023__articolo__90,dlgs_36_2023,dlgs_36_2023,90,ok,10.0,0.0,20.0,55.0,15.0,0.0
dlgs_36_2023__articolo__91,dlgs_36_2023,dlgs_36_2023,91,ok,20.0,0.0,0.0,60.0,20.0,0.0
dlgs_36_2023__articolo__92,dlgs_36_2023,dlgs_36_2023,92,ok,5.0,0.0,20.0,60.0,15.0,0.0
dlgs_36_2023__articolo__93,dlgs_36_2023,dlgs_36_2023,93,ok,5.0,12.0,18.0,55.0,10.0,0.0
dlgs_36_2023__articolo__94,dlgs_36_2023,dlgs_36_2023,94,ok,2.0,18.0,20.0,42.0,14.0,4.0
dlgs_36_2023__articolo__95,dlgs_36_2023,dlgs_36_2023,95,ok,5.0,15.0,20.0,35.0,20.0,5.0
dlgs_36_2023__articolo__96,dlgs_36_2023,dlgs_36_2023,96,ok,8.0,22.0,28.0,34.0,6.0,2.0
dlgs_36_2023__articolo__97,dlgs_36_2023,dlgs_36_2023,97,ok,5.0,15.0,45.0,30.0,5.0,0.0
dlgs_36_2023__articolo__98,dlgs_36_2023,dlgs_36_2023,98,ok,8.0,5.0,34.0,46.0,7.0,0.0
dlgs_36_2023__articolo__99,dlgs_36_2023,dlgs_36_2023,99,ok,5.0,5.0,10.0,45.0,35.0,0.0
dlgs_36_2023__articolo__100,dlgs_36_2023,dlgs_36_2023,100,ok,18.0,7.0,10.0,45.0,15.0,5.0
dlgs_36_2023__articolo__101,dlgs_36_2023,dlgs_36_2023,101,ok,5.0,20.0,25.0,50.0,0.0,0.0
dlgs_36_2023__articolo__102,dlgs_36_2023,dlgs_36_2023,102,ok,35.0,0.0,0.0,50.0,15.0,0.0
dlgs_36_2023__articolo__103,dlgs_36_2023,dlgs_36_2023,103,ok,8.0,12.0,20.0,50.0,10.0,0.0
dlgs_36_2023__articolo__104,dlgs_36_2023,dlgs_36_2023,104,ok,18.0,12.0,18.0,42.0,10.0,0.0
dlgs_36_2023__articolo__105,dlgs_36_2023,dlgs_36_2023,105,ok,0.0,0.0,0.0,0.0,30.0,70.0
dlgs_36_2023__articolo__106,dlgs_36_2023,dlgs_36_2023,106,ok,8.0,6.0,18.0,54.0,10.0,4.0
dlgs_36_2023__articolo__107,dlgs_36_2023,dlgs_36_2023,107,ok,45.0,15.0,20.0,15.0,5.0,0.0
dlgs_36_2023__articolo__108,dlgs_36_2023,dlgs_36_2023,108,ok,22.0,12.0,18.0,43.0,5.0,0.0
dlgs_36_2023__articolo__109,dlgs_36_2023,dlgs_36_2023,109,ok,85.0,0.0,0.0,10.0,5.0,0.0
dlgs_36_2023__articolo__110,dlgs_36_2023,dlgs_36_2023,110,ok,5.0,0.0,20.0,50.0,20.0,5.0
dlgs_36_2023__articolo__111,dlgs_36_2023,dlgs_36_2023,111,ok,5.0,0.0,18.0,42.0,25.0,10.0
dlgs_36_2023__articolo__112,dlgs_36_2023,dlgs_36_2023,112,ok,5.0,15.0,10.0,55.0,15.0,0.0
dlgs_36_2023__articolo__113,dlgs_36_2023,dlgs_36_2023,113,ok,15.0,0.0,0.0,75.0,10.0,0.0
dlgs_36_2023__articolo__114,dlgs_36_2023,dlgs_36_2023,114,ok,18.0,0.0,12.0,62.0,8.0,0.0
dlgs_36_2023__articolo__115,dlgs_36_2023,dlgs_36_2023,115,ok,10.0,0.0,5.0,55.0,25.0,5.0
dlgs_36_2023__articolo__116,dlgs_36_2023,dlgs_36_2023,116,ok,12.0,8.0,14.0,48.0,13.0,5.0
dlgs_36_2023__articolo__117,dlgs_36_2023,dlgs_36_2023,117,ok,25.0,5.0,20.0,35.0,10.0,5.0
dlgs_36_2023__articolo__118,dlgs_36_2023,dlgs_36_2023,118,ok,8.0,12.0,18.0,50.0,12.0,0.0
dlgs_36_2023__articolo__119,dlgs_36_2023,dlgs_36_2023,119,ok,22.0,18.0,20.0,35.0,5.0,0.0
dlgs_36_2023__articolo__120,dlgs_36_2023,dlgs_36_2023,120,ok,18.0,7.0,25.0,32.0,12.0,6.0
dlgs_36_2023__articolo__121,dlgs_36_2023,dlgs_36_2023,121,ok,4.0,6.0,26.0,54.0,10.0,0.0
dlgs_36_2023__articolo__122,dlgs_36_2023,dlgs_36_2023,122,ok,5.0,15.0,20.0,45.0,15.0,0.0
dlgs_36_2023__articolo__123,dlgs_36_2023,dlgs_36_2023,123,ok,5.0,0.0,10.0,55.0,20.0,10.0
dlgs_36_2023__articolo__124,dlgs_36_2023,dlgs_36_2023,124,ok,10.0,5.0,20.0,40.0,20.0,5.0
dlgs_36_2023__articolo__125,dlgs_36_2023,dlgs_36_2023,125,ok,8.0,4.0,10.0,68.0,8.0,2.0
dlgs_36_2023__articolo__126,dlgs_36_2023,dlgs_36_2023,126,ok,5.0,10.0,15.0,70.0,0.0,0.0
dlgs_36_2023__articolo__127,dlgs_36_2023,dlgs_36_2023,127,ok,10.0,20.0,15.0,35.0,20.0,0.0
dlgs_36_2023__articolo__128,dlgs_36_2023,dlgs_36_2023,128,ok,28.0,10.0,7.0,20.0,35.0,0.0
dlgs_36_2023__articolo__129,dlgs_36_2023,dlgs_36_2023,129,ok,20.0,15.0,25.0,30.0,10.0,0.0
dlgs_36_2023__articolo__130,dlgs_36_2023,dlgs_36_2023,130,ok,35.0,5.0,15.0,35.0,10.0,0.0
dlgs_36_2023__articolo__131,dlgs_36_2023,dlgs_36_2023,131,ok,12.0,10.0,8.0,52.0,13.0,5.0
dlgs_36_2023__articolo__132,dlgs_36_2023,dlgs_36_2023,132,ok,35.0,35.0,15.0,0.0,15.0,0.0
dlgs_36_2023__articolo__133,dlgs_36_2023,dlgs_36_2023,133,ok,10.0,0.0,0.0,15.0,55.0,20.0
dlgs_36_2023__articolo__134,dlgs_36_2023,dlgs_36_2023,134,ok,10.0,15.0,15.0,40.0,20.0,0.0
dlgs_36_2023__articolo__135,dlgs_36_2023,dlgs_36_2023,135,ok,10.0,40.0,20.0,5.0,15.0,10.0
dlgs_36_2023__articolo__136,dlgs_36_2023,dlgs_36_2023,136,ok,15.0,30.0,20.0,20.0,10.0,5.0
dlgs_36_2023__articolo__137,dlgs_36_2023,dlgs_36_2023,137,ok,10.0,25.0,25.0,20.0,20.0,0.0
dlgs_36_2023__articolo__138,dlgs_36_2023,dlgs_36_2023,138,ok,5.0,55.0,20.0,10.0,10.0,0.0
dlgs_36_2023__articolo__139,dlgs_36_2023,dlgs_36_2023,139,ok,5.0,15.0,35.0,35.0,10.0,0.0
dlgs_36_2023__articolo__140,dlgs_36_2023,dlgs_36_2023,140,ok,8.0,10.0,27.0,43.0,7.0,5.0
dlgs_36_2023__articolo__141,dlgs_36_2023,dlgs_36_2023,141,ok,15.0,25.0,10.0,35.0,15.0,0.0
dlgs_36_2023__articolo__142,dlgs_36_2023,dlgs_36_2023,142,ok,5.0,35.0,35.0,20.0,5.0,0.0
dlgs_36_2023__articolo__143,dlgs_36_2023,dlgs_36_2023,143,ok,15.0,30.0,10.0,30.0,15.0,0.0
dlgs_36_2023__articolo__144,dlgs_36_2023,dlgs_36_2023,144,ok,0.0,80.0,10.0,10.0,0.0,0.0
dlgs_36_2023__articolo__145,dlgs_36_2023,dlgs_36_2023,145,ok,0.0,70.0,15.0,10.0,5.0,0.0
dlgs_36_2023__articolo__146,dlgs_36_2023,dlgs_36_2023,146,ok,11.11,50.0,38.89,0.0,0.0,0.0
dlgs_36_2023__articolo__147,dlgs_36_2023,dlgs_36_2023,147,ok,5.0,35.0,40.0,10.0,10.0,0.0
dlgs_36_2023__articolo__148,dlgs_36_2023,dlgs_36_2023,148,ok,5.56,61.11,22.22,11.11,0.0,0.0
dlgs_36_2023__articolo__149,dlgs_36_2023,dlgs_36_2023,149,ok,15.0,35.0,20.0,10.0,20.0,0.0
dlgs_36_2023__articolo__150,dlgs_36_2023,dlgs_36_2023,150,ok,0.0,100.0,0.0,0.0,0.0,0.0
dlgs_36_2023__articolo__151,dlgs_36_2023,dlgs_36_2023,151,ok,45.0,30.0,5.0,0.0,20.0,0.0
dlgs_36_2023__articolo__152,dlgs_36_2023,dlgs_36_2023,152,ok,10.0,70.0,20.0,0.0,0.0,0.0
dlgs_36_2023__articolo__153,dlgs_36_2023,dlgs_36_2023,153,ok,10.0,0.0,25.0,20.0,45.0,0.0
dlgs_36_2023__articolo__154,dlgs_36_2023,dlgs_36_2023,154,ok,15.0,0.0,10.0,75.0,0.0,0.0
dlgs_36_2023__articolo__155,dlgs_36_2023,dlgs_36_2023,155,ok,25.0,10.0,15.0,25.0,25.0,0.0
dlgs_36_2023__articolo__156,dlgs_36_2023,dlgs_36_2023,156,ok,0.0,0.0,0.0,85.0,15.0,0.0
dlgs_36_2023__articolo__157,dlgs_36_2023,dlgs_36_2023,157,ok,5.0,0.0,5.0,75.0,15.0,0.0
dlgs_36_2023__articolo__158,dlgs_36_2023,dlgs_36_2023,158,ok,10.0,0.0,55.0,20.0,15.0,0.0
dlgs_36_2023__articolo__159,dlgs_36_2023,dlgs_36_2023,159,ok,5.0,0.0,20.0,70.0,5.0,0.0
dlgs_36_2023__articolo__160,dlgs_36_2023,dlgs_36_2023,160,ok,0.0,0.0,25.0,55.0,20.0,0.0
dlgs_36_2023__articolo__161,dlgs_36_2023,dlgs_36_2023,161,ok,15.0,0.0,10.0,45.0,25.0,5.0
dlgs_36_2023__articolo__162,dlgs_36_2023,dlgs_36_2023,162,ok,5.0,0.0,0.0,45.0,50.0,0.0
dlgs_36_2023__articolo__163,dlgs_36_2023,dlgs_36_2023,163,ok,10.0,5.0,20.0,50.0,15.0,0.0
dlgs_36_2023__articolo__164,dlgs_36_2023,dlgs_36_2023,164,ok,20.0,0.0,10.0,50.0,15.0,5.0
dlgs_36_2023__articolo__165,dlgs_36_2023,dlgs_36_2023,165,ok,5.0,0.0,10.0,70.0,15.0,0.0
dlgs_36_2023__articolo__166,dlgs_36_2023,dlgs_36_2023,166,ok,5.0,0.0,5.0,80.0,10.0,0.0
dlgs_36_2023__articolo__167,dlgs_36_2023,dlgs_36_2023,167,ok,10.0,5.0,15.0,35.0,35.0,0.0
dlgs_36_2023__articolo__168,dlgs_36_2023,dlgs_36_2023,168,ok,25.0,5.0,10.0,40.0,20.0,0.0
dlgs_36_2023__articolo__169,dlgs_36_2023,dlgs_36_2023,169,ok,20.0,0.0,0.0,75.0,5.0,0.0
dlgs_36_2023__articolo__170,dlgs_36_2023,dlgs_36_2023,170,ok,5.0,20.0,30.0,20.0,25.0,0.0
dlgs_36_2023__articolo__171,dlgs_36_2023,dlgs_36_2023,171,ok,35.0,0.0,0.0,35.0,30.0,0.0
dlgs_36_2023__articolo__172,dlgs_36_2023,dlgs_36_2023,172,ok,5.0,10.0,15.0,55.0,15.0,0.0
dlgs_36_2023__articolo__173,dlgs_36_2023,dlgs_36_2023,173,ok,10.0,15.0,20.0,5.0,50.0,0.0
dlgs_36_2023__articolo__174,dlgs_36_2023,dlgs_36_2023,174,ok,35.0,5.0,0.0,15.0,40.0,5.0
dlgs_36_2023__articolo__175,dlgs_36_2023,dlgs_36_2023,175,ok,15.0,0.0,5.0,65.0,15.0,0.0
dlgs_36_2023__articolo__176,dlgs_36_2023,dlgs_36_2023,176,ok,10.0,35.0,10.0,0.0,45.0,0.0
dlgs_36_2023__articolo__177,dlgs_36_2023,dlgs_36_2023,177,ok,32.0,8.0,14.0,22.0,18.0,6.0
dlgs_36_2023__articolo__178,dlgs_36_2023,dlgs_36_2023,178,ok,40.0,0.0,15.0,30.0,5.0,10.0
dlgs_36_2023__articolo__179,dlgs_36_2023,dlgs_36_2023,179,ok,8.0,5.0,12.0,55.0,20.0,0.0
dlgs_36_2023__articolo__180,dlgs_36_2023,dlgs_36_2023,180,ok,5.0,10.0,15.0,20.0,50.0,0.0
dlgs_36_2023__articolo__181,dlgs_36_2023,dlgs_36_2023,181,ok,5.0,70.0,10.0,0.0,15.0,0.0
dlgs_36_2023__articolo__182,dlgs_36_2023,dlgs_36_2023,182,ok,12.0,8.0,18.0,37.0,20.0,5.0
dlgs_36_2023__articolo__183,dlgs_36_2023,dlgs_36_2023,183,ok,10.0,10.0,8.0,52.0,20.0,0.0
dlgs_36_2023__articolo__184,dlgs_36_2023,dlgs_36_2023,184,ok,10.0,0.0,10.0,65.0,10.0,5.0
dlgs_36_2023__articolo__185,dlgs_36_2023,dlgs_36_2023,185,ok,32.0,0.0,10.0,58.0,0.0,0.0
dlgs_36_2023__articolo__186,dlgs_36_2023,dlgs_36_2023,186,ok,18.0,14.0,16.0,38.0,9.0,5.0
dlgs_36_2023__articolo__187,dlgs_36_2023,dlgs_36_2023,187,ok,5.0,40.0,35.0,10.0,10.0,0.0
dlgs_36_2023__articolo__188,dlgs_36_2023,dlgs_36_2023,188,ok,0.0,0.0,0.0,0.0,100.0,0.0
dlgs_36_2023__articolo__189,dlgs_36_2023,dlgs_36_2023,189,ok,8.0,5.0,42.0,18.0,15.0,12.0
dlgs_36_2023__articolo__190,dlgs_36_2023,dlgs_36_2023,190,ok,10.0,0.0,20.0,60.0,10.0,0.0
dlgs_36_2023__articolo__191,dlgs_36_2023,dlgs_36_2023,191,ok,10.0,0.0,20.0,35.0,20.0,15.0
dlgs_36_2023__articolo__192,dlgs_36_2023,dlgs_36_2023,192,ok,25.0,10.0,20.0,35.0,5.0,5.0
dlgs_36_2023__articolo__193,dlgs_36_2023,dlgs_36_2023,193,ok,18.0,4.0,10.0,58.0,8.0,2.0
dlgs_36_2023__articolo__194,dlgs_36_2023,dlgs_36_2023,194,ok,10.0,15.0,15.0,50.0,10.0,0.0
dlgs_36_2023__articolo__195,dlgs_36_2023,dlgs_36_2023,195,ok,10.0,20.0,25.0,30.0,15.0,0.0
dlgs_36_2023__articolo__196,dlgs_36_2023,dlgs_36_2023,196,ok,15.0,10.0,15.0,60.0,0.0,0.0
dlgs_36_2023__articolo__197,dlgs_36_2023,dlgs_36_2023,197,ok,25.0,5.0,15.0,45.0,10.0,0.0
dlgs_36_2023__articolo__198,dlgs_36_2023,dlgs_36_2023,198,ok,12.0,0.0,28.0,48.0,12.0,0.0
dlgs_36_2023__articolo__199,dlgs_36_2023,dlgs_36_2023,199,ok,5.0,15.0,20.0,30.0,25.0,5.0
dlgs_36_2023__articolo__200,dlgs_36_2023,dlgs_36_2023,200,ok,10.0,5.0,0.0,75.0,10.0,0.0
dlgs_36_2023__articolo__201,dlgs_36_2023,dlgs_36_2023,201,ok,35.0,10.0,15.0,25.0,15.0,0.0
dlgs_36_2023__articolo__202,dlgs_36_2023,dlgs_36_2023,202,ok,10.0,5.0,15.0,50.0,20.0,0.0
dlgs_36_2023__articolo__203,dlgs_36_2023,dlgs_36_2023,203,ok,55.0,0.0,0.0,20.0,25.0,0.0
dlgs_36_2023__articolo__204,dlgs_36_2023,dlgs_36_2023,204,ok,22.0,4.0,14.0,50.0,10.0,0.0
dlgs_36_2023__articolo__205,dlgs_36_2023,dlgs_36_2023,205,ok,10.0,8.0,12.0,45.0,25.0,0.0
dlgs_36_2023__articolo__206,dlgs_36_2023,dlgs_36_2023,206,ok,5.0,0.0,15.0,60.0,20.0,0.0
dlgs_36_2023__articolo__207,dlgs_36_2023,dlgs_36_2023,207,ok,45.0,10.0,15.0,20.0,10.0,0.0
dlgs_36_2023__articolo__208,dlgs_36_2023,dlgs_36_2023,208,ok,35.0,0.0,0.0,45.0,20.0,0.0
dlgs_36_2023__articolo__209,dlgs_36_2023,dlgs_36_2023,209,ok,18.0,8.0,22.0,32.0,15.0,5.0
dlgs_36_2023__articolo__210,dlgs_36_2023,dlgs_36_2023,210,ok,5.0,15.0,10.0,70.0,0.0,0.0
dlgs_36_2023__articolo__211,dlgs_36_2023,dlgs_36_2023,211,ok,0.0,0.0,10.0,20.0,70.0,0.0
