segment_id,celex,node_id,articolo_id,llm_status,pct__Scope_and_applicability_provisions,pct__Empowering_and_enabling_provisions,pct__Delegation_and_empowerment_clauses,pct__Scope-limiting_exceptions,pct__Incorporation_by_reference_clauses,pct__Procedural_coordination_and_consultation_clauses,pct__Procedural_safeguards_and_confidentiality,pct__Operational_flexibility_and_derogation_clauses,pct__Procedural_notification_and_reporting_clauses,pct__Implementation_and_reporting_duties,pct__Operational_procedural_provisions
32016R1013__articolo__2,32016R1013,32016R1013,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
32020D1502__articolo__1_p1,32020D1502,32020D1502,1_p1,ok,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__1_p2,32020D1502,32020D1502,1_p2,ok,60.0,15.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__1_p3,32020D1502,32020D1502,1_p3,ok,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__1_p4,32020D1502,32020D1502,1_p4,ok,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p1,32020D1502,32020D1502,2_p1,ok,85.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p2,32020D1502,32020D1502,2_p2,ok,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p3,32020D1502,32020D1502,2_p3,ok,45.0,35.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p4,32020D1502,32020D1502,2_p4,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p5,32020D1502,32020D1502,2_p5,ok,0.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p6,32020D1502,32020D1502,2_p6,ok,0.0,80.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p7,32020D1502,32020D1502,2_p7,ok,10.0,0.0,0.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p8,32020D1502,32020D1502,2_p8,ok,10.0,0.0,0.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p9,32020D1502,32020D1502,2_p9,ok,0.0,0.0,0.0,70.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0
32020D1502__articolo__2_p10,32020D1502,32020D1502,2_p10,ok,0.0,0.0,0.0,20.0,35.0,45.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p11,32020D1502,32020D1502,2_p11,ok,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p12,32020D1502,32020D1502,2_p12,ok,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p13,32020D1502,32020D1502,2_p13,ok,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p14,32020D1502,32020D1502,2_p14,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__2_p15,32020D1502,32020D1502,2_p15,ok,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__3_p1,32020D1502,32020D1502,3_p1,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32020D1502__articolo__3_p2,32020D1502,32020D1502,3_p2,ok,0.0,0.0,0.0,10.0,30.0,0.0,20.0,10.0,30.0,0.0,0.0
32020D1502__articolo__3_p3,32020D1502,32020D1502,3_p3,ok,0.0,0.0,0.0,50.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0
32020D1502__articolo__4_p1,32020D1502,32020D1502,4_p1,ok,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__4_p2,32020D1502,32020D1502,4_p2,ok,0.0,0.0,0.0,40.0,30.0,0.0,20.0,0.0,10.0,0.0,0.0
32020D1502__articolo__4_p3,32020D1502,32020D1502,4_p3,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
32020D1502__articolo__4_p4,32020D1502,32020D1502,4_p4,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
32020D1502__articolo__4_p5,32020D1502,32020D1502,4_p5,ok,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__4_p6,32020D1502,32020D1502,4_p6,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__4_p7,32020D1502,32020D1502,4_p7,ok,0.0,10.0,0.0,45.0,35.0,10.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__5,32020D1502,32020D1502,5,ok,0.0,0.0,0.0,50.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0
32020D1502__articolo__6_p1,32020D1502,32020D1502,6_p1,ok,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__6_p2,32020D1502,32020D1502,6_p2,ok,0.0,0.0,0.0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0
32020D1502__articolo__6_p3,32020D1502,32020D1502,6_p3,ok,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__6_p4,32020D1502,32020D1502,6_p4,ok,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0
32020D1502__articolo__7_p1,32020D1502,32020D1502,7_p1,ok,25.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__7_p2,32020D1502,32020D1502,7_p2,ok,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32020D1502__articolo__7_p3,32020D1502,32020D1502,7_p3,ok,0.0,0.0,0.0,70.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0
32020D1502__articolo__7_p4,32020D1502,32020D1502,7_p4,ok,0.0,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,10.0,5.0
32020D1502__articolo__8,32020D1502,32020D1502,8,ok,0.0,0.0,0.0,35.0,0.0,25.0,20.0,0.0,10.0,10.0,0.0
32020D1502__articolo__9,32020D1502,32020D1502,9,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R2414__articolo__1,32023R2414,32023R2414,1,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R2414__articolo__2,32023R2414,32023R2414,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
32023R1441__articolo__1_p1,32023R1441,32023R1441,1_p1,ok,20.0,0.0,5.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0
32023R1441__articolo__1_p2,32023R1441,32023R1441,1_p2,ok,0.0,0.0,0.0,0.0,45.0,0.0,25.0,0.0,10.0,0.0,20.0
32023R1441__articolo__2,32023R1441,32023R1441,2,ok,70.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0
32023R1441__articolo__3_p1,32023R1441,32023R1441,3_p1,ok,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__3_p2,32023R1441,32023R1441,3_p2,ok,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,30.0,0.0,10.0
32023R1441__articolo__3_p3,32023R1441,32023R1441,3_p3,ok,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,70.0,0.0,20.0
32023R1441__articolo__3_p4,32023R1441,32023R1441,3_p4,ok,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,30.0,0.0,50.0
32023R1441__articolo__4_p1,32023R1441,32023R1441,4_p1,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
32023R1441__articolo__4_p2,32023R1441,32023R1441,4_p2,ok,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,20.0,0.0,20.0
32023R1441__articolo__4_p3,32023R1441,32023R1441,4_p3,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__4_p4,32023R1441,32023R1441,4_p4,ok,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,90.0
32023R1441__articolo__4_p5,32023R1441,32023R1441,4_p5,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
32023R1441__articolo__4_p6,32023R1441,32023R1441,4_p6,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,80.0
32023R1441__articolo__5_p1,32023R1441,32023R1441,5_p1,ok,25.0,10.0,0.0,0.0,0.0,5.0,10.0,5.0,20.0,15.0,10.0
32023R1441__articolo__5_p2,32023R1441,32023R1441,5_p2,ok,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,75.0
32023R1441__articolo__5_p3,32023R1441,32023R1441,5_p3,ok,45.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,5.0,0.0,10.0
32023R1441__articolo__5_p4,32023R1441,32023R1441,5_p4,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__5_p5,32023R1441,32023R1441,5_p5,ok,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,20.0,0.0,60.0
32023R1441__articolo__5_p6,32023R1441,32023R1441,5_p6,ok,0.0,10.0,0.0,55.0,20.0,10.0,0.0,5.0,0.0,0.0,0.0
32023R1441__articolo__5_p7,32023R1441,32023R1441,5_p7,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0
32023R1441__articolo__6_p1,32023R1441,32023R1441,6_p1,ok,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__6_p2,32023R1441,32023R1441,6_p2,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__6_p3,32023R1441,32023R1441,6_p3,ok,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,25.0,0.0,25.0
32023R1441__articolo__6_p4,32023R1441,32023R1441,6_p4,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,55.0,0.0,35.0
32023R1441__articolo__6_p5,32023R1441,32023R1441,6_p5,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
32023R1441__articolo__7_p1,32023R1441,32023R1441,7_p1,ok,15.0,0.0,0.0,25.0,40.0,0.0,0.0,0.0,10.0,0.0,10.0
32023R1441__articolo__7_p2,32023R1441,32023R1441,7_p2,ok,5.0,0.0,0.0,10.0,20.0,0.0,15.0,0.0,20.0,0.0,30.0
32023R1441__articolo__7_p3,32023R1441,32023R1441,7_p3,ok,0.0,20.0,0.0,50.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0
32023R1441__articolo__7_p4,32023R1441,32023R1441,7_p4,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,35.0,0.0,50.0
32023R1441__articolo__7_p5,32023R1441,32023R1441,7_p5,ok,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__8_p1,32023R1441,32023R1441,8_p1,ok,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
32023R1441__articolo__8_p2,32023R1441,32023R1441,8_p2,ok,5.0,20.0,0.0,0.0,10.0,5.0,15.0,10.0,10.0,0.0,25.0
32023R1441__articolo__8_p3,32023R1441,32023R1441,8_p3,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
32023R1441__articolo__8_p4,32023R1441,32023R1441,8_p4,ok,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,30.0
32023R1441__articolo__9,32023R1441,32023R1441,9,ok,0.0,0.0,0.0,0.0,25.0,0.0,35.0,0.0,0.0,0.0,40.0
32023R1441__articolo__10_p1,32023R1441,32023R1441,10_p1,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
32023R1441__articolo__10_p2,32023R1441,32023R1441,10_p2,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__10_p3,32023R1441,32023R1441,10_p3,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__10_p4,32023R1441,32023R1441,10_p4,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32023R1441__articolo__10_p5,32023R1441,32023R1441,10_p5,ok,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,50.0
32023R1441__articolo__11_p1,32023R1441,32023R1441,11_p1,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
32023R1441__articolo__11_p2,32023R1441,32023R1441,11_p2,ok,20.0,50.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,5.0
32023R1441__articolo__11_p3,32023R1441,32023R1441,11_p3,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,40.0
32023R1441__articolo__12_p1,32023R1441,32023R1441,12_p1,ok,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,20.0
32023R1441__articolo__12_p2,32023R1441,32023R1441,12_p2,ok,0.0,0.0,0.0,10.0,45.0,0.0,5.0,0.0,0.0,0.0,40.0
32023R1441__articolo__12_p3,32023R1441,32023R1441,12_p3,ok,0.0,0.0,0.0,0.0,30.0,0.0,25.0,0.0,0.0,0.0,45.0
32023R1441__articolo__12_p4,32023R1441,32023R1441,12_p4,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32023R1441__articolo__13_p1,32023R1441,32023R1441,13_p1,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
32023R1441__articolo__13_p2,32023R1441,32023R1441,13_p2,ok,70.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__13_p3,32023R1441,32023R1441,13_p3,ok,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0
32023R1441__articolo__13_p4,32023R1441,32023R1441,13_p4,ok,0.0,0.0,0.0,0.0,20.0,0.0,0.0,15.0,0.0,0.0,65.0
32023R1441__articolo__13_p5,32023R1441,32023R1441,13_p5,ok,0.0,25.0,0.0,35.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__14_p1,32023R1441,32023R1441,14_p1,ok,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
32023R1441__articolo__14_p2,32023R1441,32023R1441,14_p2,ok,35.0,0.0,0.0,15.0,25.0,10.0,0.0,10.0,0.0,0.0,5.0
32023R1441__articolo__14_p3,32023R1441,32023R1441,14_p3,ok,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__14_p4,32023R1441,32023R1441,14_p4,ok,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__15_p1,32023R1441,32023R1441,15_p1,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
32023R1441__articolo__15_p2,32023R1441,32023R1441,15_p2,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__15_p3,32023R1441,32023R1441,15_p3,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__15_p4,32023R1441,32023R1441,15_p4,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32023R1441__articolo__15_p5,32023R1441,32023R1441,15_p5,ok,0.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,75.0
32023R1441__articolo__16_p1,32023R1441,32023R1441,16_p1,ok,20.0,45.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,5.0,0.0
32023R1441__articolo__16_p2,32023R1441,32023R1441,16_p2,ok,70.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
32023R1441__articolo__16_p3,32023R1441,32023R1441,16_p3,ok,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
32023R1441__articolo__16_p4,32023R1441,32023R1441,16_p4,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__16_p5,32023R1441,32023R1441,16_p5,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__16_p6,32023R1441,32023R1441,16_p6,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__17_p1,32023R1441,32023R1441,17_p1,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32023R1441__articolo__17_p2,32023R1441,32023R1441,17_p2,ok,0.0,0.0,0.0,0.0,40.0,0.0,20.0,10.0,0.0,0.0,30.0
32023R1441__articolo__17_p3,32023R1441,32023R1441,17_p3,ok,0.0,0.0,0.0,0.0,20.0,0.0,30.0,0.0,0.0,0.0,50.0
32023R1441__articolo__17_p4,32023R1441,32023R1441,17_p4,ok,0.0,0.0,0.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0,65.0
32023R1441__articolo__17_p5,32023R1441,32023R1441,17_p5,ok,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0
32023R1441__articolo__18_p1,32023R1441,32023R1441,18_p1,ok,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__18_p2,32023R1441,32023R1441,18_p2,ok,0.0,15.0,0.0,0.0,50.0,0.0,35.0,0.0,0.0,0.0,0.0
32023R1441__articolo__18_p3,32023R1441,32023R1441,18_p3,ok,0.0,0.0,0.0,10.0,30.0,0.0,25.0,15.0,10.0,0.0,10.0
32023R1441__articolo__18_p4,32023R1441,32023R1441,18_p4,ok,0.0,0.0,0.0,0.0,20.0,0.0,35.0,0.0,0.0,0.0,45.0
32023R1441__articolo__19_p1,32023R1441,32023R1441,19_p1,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32023R1441__articolo__19_p2,32023R1441,32023R1441,19_p2,ok,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__19_p3,32023R1441,32023R1441,19_p3,ok,0.0,0.0,0.0,0.0,35.0,0.0,10.0,0.0,15.0,0.0,40.0
32023R1441__articolo__19_p4,32023R1441,32023R1441,19_p4,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__19_p5,32023R1441,32023R1441,19_p5,ok,0.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__19_p6,32023R1441,32023R1441,19_p6,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32023R1441__articolo__19_p7,32023R1441,32023R1441,19_p7,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32023R1441__articolo__19_p8,32023R1441,32023R1441,19_p8,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32023R1441__articolo__19_p9,32023R1441,32023R1441,19_p9,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32023R1441__articolo__19_p10,32023R1441,32023R1441,19_p10,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32023R1441__articolo__19_p11,32023R1441,32023R1441,19_p11,ok,0.0,0.0,0.0,0.0,10.0,0.0,70.0,0.0,0.0,0.0,20.0
32023R1441__articolo__19_p12,32023R1441,32023R1441,19_p12,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32023R1441__articolo__19_p13,32023R1441,32023R1441,19_p13,ok,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,5.0,0.0,10.0
32023R1441__articolo__19_p14,32023R1441,32023R1441,19_p14,ok,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32023R1441__articolo__20_p1,32023R1441,32023R1441,20_p1,ok,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32023R1441__articolo__20_p2,32023R1441,32023R1441,20_p2,ok,0.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,0.0,0.0,30.0
