Source,Target,Type,start_year,end_year
32025D0967,32018D0340,CITES,2025.0,2018.0
32010H0167,32009L0114,CITES,2010.0,2009.0
32025D1107,32024D1972,CITES,2025.0,2024.0
32025D1107,32021D2008,CITES,2025.0,2021.0
32025D1107,32018D1797,CITES,2025.0,2018.0
32025D1107,32018D0909,CITES,2025.0,2018.0
32025D1107,32023D0995,CITES,2025.0,2023.0
32017D1483,32012D0243,CITES,2017.0,2012.0
32017D1483,32013D0752,CITES,2017.0,2013.0
32016D0339,32012D0243,CITES,2016.0,2012.0
32018D1797,32018D0909,CITES,2018.0,2018.0
31999D0310,31997D0523,CITES,1999.0,1997.0
32022D0172,32021D1730,CITES,2022.0,2021.0
32017D0899,32012D0243,CITES,2017.0,2012.0
32023R1525,32019R0452,CITES,2023.0,2019.0
32024D1049,32022D1093,CITES,2024.0,2022.0
32024D1049,32021D2136,CITES,2024.0,2021.0
32024D1049,32021D0509,CITES,2024.0,2021.0
32024D1067,32023D1053,CITES,2024.0,2023.0
32022L2555,32022L2557,CITES,2022.0,2022.0
32023D0995,32018D0909,CITES,2023.0,2018.0
32023D0995,32018D1797,CITES,2023.0,2018.0
32023D0995,32021D2008,CITES,2023.0,2021.0
32021D2134,32021D0509,CITES,2021.0,2021.0
32025D0075,32018D0340,CITES,2025.0,2018.0
32025D0075,32018D0909,CITES,2025.0,2018.0
32023R2418,32019R0452,CITES,2023.0,2019.0
32020D1502,32019R0452,CITES,2020.0,2019.0
32018D1538,32012D0243,CITES,2018.0,2012.0
32011H0024,32009L0043,CITES,2011.0,2009.0
32024D3185,32015D0528,CITES,2024.0,2015.0
32022R1036,32012L0034,CITES,2022.0,2012.0
32022R1036,32022R0312,CITES,2022.0,2022.0
32021D2135,32021D0509,CITES,2021.0,2021.0
32018D0909,32018D0340,CITES,2018.0,2018.0
32024D06798,32023L2661,CITES,2024.0,2023.0
32013D0752,32012D0243,CITES,2013.0,2012.0
32020D1639,32018D0909,CITES,2020.0,2018.0
32018D1797,32018D0340,AMENDS,2018.0,2018.0
32016D0687,32012D0243,CITES,2016.0,2012.0
32020R1298,32019D1909,CITES,2020.0,2019.0
32020R1298,32018D0340,CITES,2020.0,2018.0
32020R1298,32018D1797,CITES,2020.0,2018.0
32021R1061,32020R1429,BASED_ON,2021.0,2020.0
32020R2180,32020R1429,BASED_ON,2020.0,2020.0
32021D2136,32021D0509,CITES,2021.0,2021.0
32016R0545,32012L0034,BASED_ON,2016.0,2012.0
32024D1972,32023D0995,CITES,2024.0,2023.0
32024D1972,32018D1797,CITES,2024.0,2018.0
32024D1972,32018D0909,CITES,2024.0,2018.0
32024D1972,32021D2008,CITES,2024.0,2021.0
32019L0514,32009L0043,BASED_ON,2019.0,2009.0
32022D2244,32018D0909,CITES,2022.0,2018.0
32022D2244,32018D0340,CITES,2022.0,2018.0
32010L0080,32009L0043,BASED_ON,2010.0,2009.0
32024R2690,32022L2555,BASED_ON,2024.0,2022.0
32020D1746,32019D1909,CITES,2020.0,2019.0
32020D1746,32018D0909,CITES,2020.0,2018.0
32020D1746,32018D1797,CITES,2020.0,2018.0
32015D1111,32010R0913,BASED_ON,2015.0,2010.0
32024R3104,32005R0184,BASED_ON,2024.0,2005.0
32023D1053,32023R0588,BASED_ON,2023.0,2023.0
32022D0667,32021D0509,CITES,2022.0,2021.0
32022D0667,32021D1210,CITES,2022.0,2021.0
32021R2126,32019R0452,BASED_ON,2021.0,2019.0
32017L0433,32009L0043,BASED_ON,2017.0,2009.0
32009R0707,32005R0184,BASED_ON,2009.0,2005.0
32014R0228,32005R0184,BASED_ON,2014.0,2005.0
32020R1298,32019R0452,BASED_ON,2020.0,2019.0
32024D2383,32024R1679,BASED_ON,2024.0,2024.0
32023L0277,32009L0043,BASED_ON,2023.0,2009.0
32008R1055,32005R0184,BASED_ON,2008.0,2005.0
32025D0075,32020D1639,BASED_ON,2025.0,2020.0
32017R2177,32012L0034,BASED_ON,2017.0,2012.0
32022D2244,32020D1639,BASED_ON,2022.0,2020.0
32010R1227,32005R0184,BASED_ON,2010.0,2005.0
32024D1979,32021D0509,CITES,2024.0,2021.0
32017D2075,32012L0034,BASED_ON,2017.0,2012.0
32022R1036,32020R1429,BASED_ON,2022.0,2020.0
32023D2687,32023D0510,CITES,2023.0,2023.0
32019R0505,32005R0184,BASED_ON,2019.0,2005.0
32025D0967,32020D1639,BASED_ON,2025.0,2020.0
32017L2054,32009L0043,BASED_ON,2017.0,2009.0
32017D0177,32010R0913,BASED_ON,2017.0,2010.0
32024D1067,32023R0588,BASED_ON,2024.0,2023.0
32023R1472,32005R0184,BASED_ON,2023.0,2005.0
32017D0178,32010R0913,BASED_ON,2017.0,2010.0
32023D0385,32020D1639,BASED_ON,2023.0,2020.0
32016L0970,32009L0043,BASED_ON,2016.0,2009.0
32021D2008,32018D0340,AMENDS,2021.0,2018.0
32023D0920,32021D2134,CITES,2023.0,2021.0
32023D0920,32021D0509,CITES,2023.0,2021.0
32023D0385,32018D0909,CITES,2023.0,2018.0
32023D0385,32018D0340,CITES,2023.0,2018.0
32020D0590,32019D0784,AMENDS,2020.0,2019.0
32021R2126,32019R0452,AMENDS,2021.0,2019.0
32016R1013,32005R0184,AMENDS,2016.0,2005.0
32019L0514,32009L0043,AMENDS,2019.0,2009.0
32019R0505,32005R0184,AMENDS,2019.0,2005.0
32010R1227,32008R1055,AMENDS,2010.0,2008.0
32023D2687,32022D0667,AMENDS,2023.0,2022.0
32023R1472,32008R1055,AMENDS,2023.0,2008.0
32024R3104,32005R0184,AMENDS,2024.0,2005.0
32010L0080,32009L0043,AMENDS,2010.0,2009.0
32023R2414,32023R1441,AMENDS,2023.0,2023.0
32019D1909,32018D0340,AMENDS,2019.0,2018.0
32020D1746,32018D0340,AMENDS,2020.0,2018.0
32023D0577,32021D0509,AMENDS,2023.0,2021.0
32017D2075,32012L0034,AMENDS,2017.0,2012.0
32019R0296,32016R2286,AMENDS,2019.0,2016.0
32024R1679,32010R0913,AMENDS,2024.0,2010.0
32017L0433,32009L0043,AMENDS,2017.0,2009.0
32021D0509,32015D0528,REPEALS,2021.0,2015.0
32022D0172,32018D1538,AMENDS,2022.0,2018.0
32024D2846,32021D0509,AMENDS,2024.0,2021.0
32024D1467,32019D0785,AMENDS,2024.0,2019.0
32017D0178,32015D1111,AMENDS,2017.0,2015.0
32024D3185,32021D0509,AMENDS,2024.0,2021.0
32024D3157,32021D1067,AMENDS,2024.0,2021.0
32020R2180,32020R1429,AMENDS,2020.0,2020.0
32020R1298,32019R0452,AMENDS,2020.0,2019.0
32016L0970,32009L0043,AMENDS,2016.0,2009.0
32023D1304,32021D0509,AMENDS,2023.0,2021.0
32022R0312,32020R1429,AMENDS,2022.0,2020.0
32025D0650,32018D1538,AMENDS,2025.0,2018.0
32024R2000,32020R1070,AMENDS,2024.0,2020.0
32024D1972,32018D0340,AMENDS,2024.0,2018.0
32024D0890,32021D0509,AMENDS,2024.0,2021.0
32023D0510,32022D0667,AMENDS,2023.0,2022.0
32021R1061,32020R1429,AMENDS,2021.0,2020.0
32022D2307,32022D0179,AMENDS,2022.0,2022.0
32022R1036,32020R1429,AMENDS,2022.0,2020.0
32023L0277,32009L0043,AMENDS,2023.0,2009.0
32025D1107,32018D0340,AMENDS,2025.0,2018.0
32025D0913,32021D1067,AMENDS,2025.0,2021.0
32017L2054,32009L0043,AMENDS,2017.0,2009.0
32009R0707,32005R0184,AMENDS,2009.0,2005.0
32023D0995,32018D0340,AMENDS,2023.0,2018.0
32018D1797,32018D0340,DOES_REPLACEMENT,2018.0,2018.0
32018D1797,32018D0340,DOES_DELETION,2018.0,2018.0
32019R0296,32016R2286,DOES_REPLACEMENT,2019.0,2016.0
32019L0514,32009L0043,DOES_REPLACEMENT,2019.0,2009.0
32018D1797,32018D0340,DOES_INSERTION,2018.0,2018.0
32022L2557,32008L0114,REPEALS,2022.0,2008.0
