Id,llm_author,llm_procedure,llm_tfeu_article,llm_primary_obligation,llm_status
32016D0422,Commission_implementing,delegated_implementing,,technical_standard,ok
32016R1710,Council,other,215.0,prohibition,ok
32016R1719R(03),Commission_implementing,delegated_implementing,,technical_standard,ok
32016R2214,Commission_implementing,delegated_implementing,,prohibition,ok
32017D2378,Commission_implementing,delegated_implementing,,technical_standard,ok
32017L2455R(04),Council,ordinary_legislative,113.0,obligation,ok
32017L2455R(07),Council,ordinary_legislative,113.0,obligation,ok
32017R0006,Commission_implementing,delegated_implementing,,technical_standard,ok
32017R0393,Commission_implementing,delegated_implementing,,technical_standard,ok
32017R1538R(01),Other,other,,technical_standard,ok
32017R1538R(02),Other,other,,technical_standard,ok
32017R1800,Commission_delegated,delegated_implementing,,technical_standard,ok
32018D0860R(01),Commission_other,other,108.0,prohibition,ok
32018D1723,Commission_implementing,delegated_implementing,,technical_standard,ok
32018R0414,Commission_delegated,delegated_implementing,,technical_standard,ok
32018R1100,Commission_delegated,delegated_implementing,,prohibition,ok
32019D0232,Council,other,,other,ok
32019D0784,Commission_implementing,delegated_implementing,,technical_standard,ok
32019D1274,Commission_implementing,delegated_implementing,,technical_standard,ok
32019D1276,Commission_implementing,delegated_implementing,,other,ok
32019D1278,Commission_implementing,delegated_implementing,,other,ok
32019D1577,Council,other,196.0,other,ok
32019D1909,Council,other,,obligation,ok
32020D0373R(01),Council,other,,prohibition,ok
32021D0509,Council,other,,other,ok
32021D0689R(01),Council,treaty,217.0,other,ok
32021L1047,Commission_delegated,delegated_implementing,,technical_standard,ok
32021R0732,Commission_delegated,delegated_implementing,,technical_standard,ok
32021R0883,Commission_implementing,delegated_implementing,,prohibition,ok
32021R2228,Commission_implementing,delegated_implementing,,technical_standard,ok
32022D0288,Commission_implementing,delegated_implementing,,technical_standard,ok
32022D0636,Council,other,,obligation,ok
32022D0706,Commission_implementing,delegated_implementing,,technical_standard,ok
32022D0810R(01),Council,other,,obligation,ok
32022D2571,Council,other,218.0,obligation,ok
32022R1214,Commission_delegated,delegated_implementing,,technical_standard,ok
32023D0376,Commission_other,other,,obligation,ok
32023D0598,Council,other,,other,ok
32023D1336,Commission_implementing,delegated_implementing,,obligation,ok
32023R0736,Commission_implementing,delegated_implementing,,technical_standard,ok
32023R2779,Commission_delegated,delegated_implementing,,technical_standard,ok
32024D0336,Council,other,,other,ok
32024D2383,Commission_other,other,,other,ok
32024D2521,Council,other,,other,ok
32024D2864,Commission_other,infringement,108.0,prohibition,ok
32024R1366,Commission_delegated,delegated_implementing,,technical_standard,ok
32024R1505,Commission_delegated,delegated_implementing,,technical_standard,ok
32024R1601,Commission_implementing,delegated_implementing,,prohibition,ok
32024R2000,Commission_implementing,delegated_implementing,57.0,technical_standard,ok
32024R2024,Commission_delegated,delegated_implementing,,technical_standard,ok
32024R2981,Commission_implementing,delegated_implementing,,technical_standard,ok
32025D0887,Council,other,,prohibition,ok
32025D1060,Commission_other,other,,technical_standard,ok
31978D0154,Commission_other,other,108.0,other,ok
31984D0519,Commission_other,other,,other,ok
31994L0022,EP_Council,ordinary_legislative,,obligation,ok
31996D0547,Commission_other,infringement,85.0,prohibition,ok
31996L0067,Council,ordinary_legislative,84.0,obligation,ok
32001D0078,Council,other,207.0,other,ok
32001D0546,Commission_other,other,,other,ok
32003D0440,Council,other,71.0,obligation,ok
32003D0790,Commission_other,infringement,,prohibition,ok
32004D0090,Commission_implementing,delegated_implementing,,technical_standard,ok
32004D0822,Other,other,,other,ok
32004L0066,Council,other,,technical_standard,ok
32004R0793,EP_Council,ordinary_legislative,80.0,obligation,ok
32005D0050,Commission_other,other,,technical_standard,ok
32005D0923,Council,other,175.0,obligation,ok
32006L0038R(03),EP_Council,ordinary_legislative,71.0,obligation,ok
32007D0210,Council,other,80.0,obligation,ok
32007H0078,Commission_other,recommendation,211.0,recommendation,ok
32008D0214,Commission_other,infringement,88.0,prohibition,ok
32009D0460R(01),Commission_other,delegated_implementing,,technical_standard,ok
32009D0548,Commission_other,delegated_implementing,,obligation,ok
32009D0739,Commission_other,delegated_implementing,,technical_standard,ok
32009L0043,EP_Council,ordinary_legislative,95.0,obligation,ok
32010D0293,Commission_other,other,,other,ok
32011D0829,Commission_implementing,delegated_implementing,,technical_standard,ok
32012D0688,Commission_implementing,delegated_implementing,,technical_standard,ok
32012H0798,Commission_other,recommendation,292.0,recommendation,ok
32012R0272,Commission_delegated,delegated_implementing,,technical_standard,ok
32014D0524,Commission_other,infringement,108.0,prohibition,ok
32014R1299R(03),Commission_implementing,delegated_implementing,,technical_standard,ok
32015D1065,Council,other,,other,ok
32016D0599,Commission_implementing,delegated_implementing,,technical_standard,ok
32016D1107,Council,other,,other,ok
32017D0177,Commission_implementing,delegated_implementing,,technical_standard,ok
32017D0178,Commission_implementing,delegated_implementing,,technical_standard,ok
32017D2390,Commission_implementing,delegated_implementing,,technical_standard,ok
32017L2455,Council,ordinary_legislative,113.0,obligation,ok
32017L2455R(03),Council,ordinary_legislative,113.0,obligation,ok
32017R1110,Commission_implementing,delegated_implementing,,technical_standard,ok
32017R2177,Commission_implementing,delegated_implementing,,technical_standard,ok
32017R2454R(02),Council,ordinary_legislative,113.0,obligation,ok
32017R2459,Council,delegated_implementing,397.0,technical_standard,ok
32018D0909,Council,other,,obligation,ok
32018R1108,Commission_delegated,delegated_implementing,,technical_standard,ok
32019R0758,Commission_delegated,delegated_implementing,,technical_standard,ok
32020D2152,Commission_other,delegated_implementing,,obligation,ok
32020R1070,Commission_implementing,delegated_implementing,,technical_standard,ok
32021D0891,Commission_implementing,delegated_implementing,,technical_standard,ok
32021D1210R(01),Council,other,,other,ok
32021D1428,Commission_other,infringement,108.0,prohibition,ok
32021D1743,Council,other,91.0,obligation,ok
32021D1797,Council,other,100.0,other,ok
32021D2008R(02),Council,other,,obligation,ok
32021R0379R(02),Other,other,,technical_standard,ok
32021R0453R(03),Commission_implementing,delegated_implementing,,technical_standard,ok
32022D2445,Council,other,,other,ok
32022R0030R(01),Commission_delegated,delegated_implementing,,technical_standard,ok
32022R0432,Council,delegated_implementing,,technical_standard,ok
32022R0670,Commission_delegated,delegated_implementing,,technical_standard,ok
32022R0828,Commission_implementing,delegated_implementing,,technical_standard,ok
32023D0177,Commission_other,delegated_implementing,,technical_standard,ok
32024D03936,Commission_other,other,,other,ok
32024D06798,Commission_implementing,delegated_implementing,,technical_standard,ok
32024D1472,Council,other,,other,ok
32024D2193,Council,other,,obligation,ok
32024R0264,Commission_other,delegated_implementing,,technical_standard,ok
32024R0298,Commission_delegated,delegated_implementing,,technical_standard,ok
32024R0595,Commission_delegated,delegated_implementing,,technical_standard,ok
32024R1998,Commission_implementing,delegated_implementing,,technical_standard,ok
32024R2690R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
32025D0799,Council,other,218.0,obligation,ok
32025D1058,Commission_other,other,,technical_standard,ok
31980D1350,Commission_other,other,,prohibition,ok
31981D0375,Commission_other,other,,prohibition,ok
31984D0520,Commission_other,other,,other,ok
31985D0069,Commission_other,other,,other,ok
31985D0530,Commission_other,other,,other,ok
31996R2271R(01),Council,other,,prohibition,ok
31997D0545,Commission_other,other,,technical_standard,ok
31998D0181R(01),Council,treaty,,obligation,ok
31998D0535,Commission_other,other,,technical_standard,ok
31999L0062R(01),EP_Council,ordinary_legislative,71.0,obligation,ok
32000D0123,Commission_other,other,,other,ok
32001D0098,Commission_other,other,,other,ok
32001D0595,Council,treaty,133.0,obligation,ok
32002E0589R(01),Council,other,14.0,obligation,ok
32004L0113R(02),Council,ordinary_legislative,13.0,prohibition,ok
32006D0500R(01),Council,treaty,,obligation,ok
32006D0558,Commission_other,other,111.0,technical_standard,ok
32006D0951,Commission_other,infringement,88.0,prohibition,ok
32006R1637,Other,other,,obligation,ok
32008D0204,Commission_other,infringement,88.0,prohibition,ok
32008D0477,Commission_other,delegated_implementing,,technical_standard,ok
32008D0952,Commission_other,other,,technical_standard,ok
32008E0944R(01),Council,other,,obligation,ok
32009D0302,Council,other,80.0,obligation,ok
32009D0381R(01),Commission_other,other,,technical_standard,ok
32009D0510,Council,other,80.0,obligation,ok
32009D0512,Council,other,80.0,obligation,ok
32009D1007,EP_Council,ordinary_legislative,,obligation,ok
32009R1072,EP_Council,ordinary_legislative,71.0,obligation,ok
32010D0118,Council,other,,other,ok
32010D0462R(01),Commission_other,other,,other,ok
32011D0519,Commission_other,infringement,108.0,prohibition,ok
32011R0176,Commission_other,delegated_implementing,,obligation,ok
32013D0233R(01),Council,other,,other,ok
32014D0641,Commission_implementing,delegated_implementing,,technical_standard,ok
32014H0881R(01),Commission_other,recommendation,292.0,recommendation,ok
32014R0275R(01),Commission_delegated,delegated_implementing,,technical_standard,ok
32014R1299R(04),Commission_implementing,delegated_implementing,,technical_standard,ok
32015D0528,Council,other,,obligation,ok
32015D1780,Council,other,,other,ok
32016R1375R(01),Commission_implementing,delegated_implementing,,prohibition,ok
32017R2177R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
32017R2454R(01),Council,ordinary_legislative,113.0,obligation,ok
32018D0496,Commission_implementing,delegated_implementing,,technical_standard,ok
32018R1207,Commission_implementing,delegated_implementing,,technical_standard,ok
32020D0414,Commission_implementing,delegated_implementing,,technical_standard,ok
32020D0452,Commission_implementing,delegated_implementing,,technical_standard,ok
32020D0452R(02),Commission_implementing,delegated_implementing,,technical_standard,ok
32021D0394,Council,other,,prohibition,ok
32021D2134,Council,other,,other,ok
32021R1950,Commission_delegated,delegated_implementing,,technical_standard,ok
32022D0118,Council,other,,prohibition,ok
32022D0173,Commission_implementing,delegated_implementing,,technical_standard,ok
32022D0338R(01),Council,other,,other,ok
32022D0339R(02),Council,other,,other,ok
32022D0471,Council,other,,obligation,ok
32022D0780,Commission_implementing,delegated_implementing,,obligation,ok
32022D0895,Council,other,,other,ok
32022D0906R(01),Council,other,,other,ok
32022D1002,Council,treaty,194.0,obligation,ok
32022D2191,Commission_implementing,delegated_implementing,,technical_standard,ok
32022R1409,Commission_implementing,delegated_implementing,,technical_standard,ok
32022R2073,Council,delegated_implementing,,prohibition,ok
32023D0179,Commission_other,delegated_implementing,,technical_standard,ok
32023D0385,Council,other,,other,ok
32023D0692,Council,other,,other,ok
32023D0920,Council,other,,other,ok
32023D0993R(01),Council,other,,other,ok
32023D1304,Council,other,,other,ok
32023D2199,Commission_implementing,delegated_implementing,,obligation,ok
32023D2858,Council,other,194.0,obligation,ok
32023R0706,Council,other,122.0,obligation,ok
32024R2690,Commission_implementing,delegated_implementing,,technical_standard,ok
32024R2956,Commission_implementing,delegated_implementing,,technical_standard,ok
32024R3144,Commission_implementing,delegated_implementing,,technical_standard,ok
32024R3172R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
32025D0171,Council,other,,prohibition,ok
32025D0823,Council,other,,obligation,ok
32025D1051,Commission_other,other,,technical_standard,ok
32025D1052,Commission_other,other,,technical_standard,ok
32025D1061,Commission_other,other,,other,ok
32025D1062,Commission_other,other,,other,ok
32025R0301,Commission_delegated,delegated_implementing,,technical_standard,ok
32025R0420,Commission_delegated,delegated_implementing,,technical_standard,ok
31985D0068,Commission_other,other,,other,ok
31991D0251,Commission_other,other,,prohibition,ok
31994D0406,Commission_other,other,,other,ok
31994D0424,Commission_other,other,,other,ok
31994D0714,Commission_other,other,,other,ok
31996E0668,Council,other,,prohibition,ok
31996L0053R(02),Council,ordinary_legislative,75.0,technical_standard,ok
31996L0067R(05),Council,ordinary_legislative,84.0,obligation,ok
31998D0519,Commission_other,other,,technical_standard,ok
31999D0645,Commission_other,other,,technical_standard,ok
31999D0847,Council,other,308.0,obligation,ok
32000D0054,Commission_other,other,,obligation,ok
32000D0124,Commission_other,other,,other,ok
32000D0354R(01),Council,other,207.0,other,ok
32001D0143,Commission_other,infringement,81.0,prohibition,ok
32003L0020,EP_Council,ordinary_legislative,71.0,obligation,ok
32005H0698,Commission_other,recommendation,,recommendation,ok
32007D0446,Commission_other,other,,other,ok
32008F0909R(01),Council,other,,obligation,ok
32008L0096R(02),EP_Council,ordinary_legislative,71.0,obligation,ok
32009D0460,Commission_other,delegated_implementing,,technical_standard,ok
32009L0110R(04),EP_Council,ordinary_legislative,95.0,obligation,ok
32009R1072R(01),EP_Council,ordinary_legislative,71.0,obligation,ok
32011D0140,Commission_other,infringement,108.0,prohibition,ok
32011D0713,Council,delegated_implementing,,prohibition,ok
32013L0022,Council,other,,technical_standard,ok
32014D0276R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
32014D0430,Council,other,,other,ok
32014H0881,Commission_other,recommendation,292.0,recommendation,ok
32014L0108,Commission_other,delegated_implementing,,technical_standard,ok
32014R0756,Other,other,,technical_standard,ok
32016D0339,Commission_implementing,delegated_implementing,,technical_standard,ok
32016L0970,Commission_other,delegated_implementing,,technical_standard,ok
32017D0349,Council,other,,other,ok
32017D2315R(01),Council,other,,obligation,ok
32017R1354R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
32017R1485,Commission_implementing,delegated_implementing,,technical_standard,ok
32017R2195,Commission_implementing,delegated_implementing,,technical_standard,ok
32018D0340,Council,other,,obligation,ok
32018D0661R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
32018D0777,Council,other,218.0,other,ok
32018D1538,Commission_implementing,delegated_implementing,,technical_standard,ok
32018D1797R(02),Council,other,,obligation,ok
32019D0433,Council,other,218.0,obligation,ok
32019D1115,Council,other,,other,ok
32019D1284,Commission_implementing,delegated_implementing,,other,ok
32019R0361,Commission_delegated,delegated_implementing,,technical_standard,ok
32019R0505,Commission_delegated,delegated_implementing,,technical_standard,ok
32020D0414R(02),Commission_implementing,delegated_implementing,,technical_standard,ok
32020D0590,Commission_implementing,delegated_implementing,,technical_standard,ok
32020D1479,Commission_implementing,delegated_implementing,,technical_standard,ok
32020R0736R(01),Commission_implementing,delegated_implementing,,prohibition,ok
32020R1125,Council,delegated_implementing,,prohibition,ok
32021D0749,Council,other,,obligation,ok
32021D1886R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
32021R0379R(01),Other,other,,technical_standard,ok
32021R0453R(02),Commission_implementing,delegated_implementing,,technical_standard,ok
32022D0767,Commission_other,other,,technical_standard,ok
32022D1367,Council,other,,prohibition,ok
32022D1920,Commission_other,infringement,108.0,prohibition,ok
32022R1463,Commission_implementing,delegated_implementing,,technical_standard,ok
32023D0176,Commission_other,other,,technical_standard,ok
32023D1015,Council,other,,obligation,ok
32023D2481,Commission_other,delegated_implementing,,technical_standard,ok
32023D2524,Commission_other,infringement,108.0,prohibition,ok
32023R1717,Commission_delegated,delegated_implementing,,technical_standard,ok
32024D0350,Commission_other,infringement,,obligation,ok
32024D3226,Council,other,189.0,other,ok
32024R1774,Commission_delegated,delegated_implementing,,technical_standard,ok
32024R3117R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
32025D0075,Council,other,,other,ok
32025D0105,Commission_implementing,delegated_implementing,,technical_standard,ok
32025D0172,Council,other,194.0,obligation,ok
32025D1050,Commission_other,other,,technical_standard,ok
32025D1063,Commission_other,other,,technical_standard,ok
31974H0256,Commission_other,recommendation,,recommendation,ok
31994D0414,Commission_other,other,,other,ok
31996R2271,Council,other,,prohibition,ok
31997D0181,Commission_other,infringement,90.0,obligation,ok
31997D0310,Commission_other,infringement,,obligation,ok
31997D0639,Commission_other,other,,technical_standard,ok
31998D0388,Commission_other,other,,obligation,ok
31998D0517,Commission_other,other,,technical_standard,ok
31998H0322,Commission_other,recommendation,,recommendation,ok
31999D0511,Commission_other,other,,technical_standard,ok
32000L0084,EP_Council,ordinary_legislative,95.0,obligation,ok
32003D0707,Commission_other,infringement,82.0,prohibition,ok
32003D0834,Council,other,,other,ok
32004R0550,EP_Council,ordinary_legislative,80.0,obligation,ok
32005D0012,Council,other,308.0,obligation,ok
32006D0355,Commission_other,other,3.0,other,ok
32006L0038R(01),EP_Council,ordinary_legislative,71.0,obligation,ok
32006L0103,Council,other,,technical_standard,ok
32007D0258,Commission_other,infringement,88.0,prohibition,ok
32007D0784,Commission_other,other,,prohibition,ok
32008D0432R(01),Commission_other,delegated_implementing,,technical_standard,ok
32008F0909R(06),Council,other,,obligation,ok
32009D0097,Council,other,80.0,other,ok
32009D0806,Council,treaty,175.0,obligation,ok
32009L0081,EP_Council,ordinary_legislative,95.0,obligation,ok
32009L0114,EP_Council,ordinary_legislative,95.0,technical_standard,ok
32009R0923,EP_Council,ordinary_legislative,71.0,other,ok
32009R1072R(04),EP_Council,ordinary_legislative,71.0,obligation,ok
32010D0368,Commission_other,delegated_implementing,,technical_standard,ok
32010L0064,EP_Council,ordinary_legislative,82.0,obligation,ok
32010R0590,Commission_implementing,delegated_implementing,,prohibition,ok
32010R1158R(01),Commission_other,delegated_implementing,,technical_standard,ok
32012R1078,Commission_implementing,delegated_implementing,,obligation,ok
32013D0195,Commission_implementing,delegated_implementing,,technical_standard,ok
32013R1042R(01),Council,delegated_implementing,397.0,obligation,ok
32013R1075,Other,other,,obligation,ok
32014D0415R(02),Council,other,222.0,obligation,ok
32014D0641R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
32015D1055,Commission_implementing,delegated_implementing,,technical_standard,ok
32015D1097,Commission_other,other,,other,ok
32015R0010R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
32015R0462,Commission_implementing,delegated_implementing,,technical_standard,ok
32016D0537,Commission_implementing,delegated_implementing,,technical_standard,ok
32016D1339,Council,other,,other,ok
32017D0258,Commission_implementing,delegated_implementing,,technical_standard,ok
32017D1483,Commission_implementing,delegated_implementing,,technical_standard,ok
32017D2075,Commission_delegated,delegated_implementing,,technical_standard,ok
32017R0392R(01),Commission_delegated,delegated_implementing,,technical_standard,ok
32018D0661R(03),Commission_implementing,delegated_implementing,,technical_standard,ok
32019D1742,Commission_implementing,delegated_implementing,,technical_standard,ok
32019R0796R(01),Council,other,215.0,prohibition,ok
32019R1213,Commission_implementing,delegated_implementing,,technical_standard,ok
32020D1127,Council,other,29.0,prohibition,ok
32020D1746,Council,other,,obligation,ok
32020D2023,Council,other,194.0,obligation,ok
32020D2252,Council,treaty,217.0,other,ok
32020R1536R(01),Council,delegated_implementing,,prohibition,ok
32021D0509R(02),Council,other,,other,ok
32021D0689,Council,treaty,217.0,other,ok
32021D0750,Council,other,,other,ok
32021R2011,Commission_implementing,delegated_implementing,,obligation,ok
32022D0765,Commission_other,delegated_implementing,,technical_standard,ok
32022D0774,Commission_other,delegated_implementing,,technical_standard,ok
32022D0906,Council,other,,other,ok
32022D2255,Commission_other,delegated_implementing,,technical_standard,ok
32022D2422,Commission_other,other,,technical_standard,ok
32022D2425,Commission_other,delegated_implementing,,technical_standard,ok
32022D2507,Council,other,,other,ok
32022D2571R(01),Council,other,53.0,obligation,ok
32022R0375,Council,delegated_implementing,,prohibition,ok
32022R1645,Commission_delegated,delegated_implementing,,obligation,ok
32023D0162,Council,other,,other,ok
32023D0964,Council,other,,prohibition,ok
32024D0890,Council,other,,obligation,ok
32024R0490,Commission_delegated,delegated_implementing,,technical_standard,ok
32024R0873R(02),Commission_delegated,delegated_implementing,,technical_standard,ok
32024R2690R(02),Commission_implementing,delegated_implementing,,technical_standard,ok
32025D0967,Council,other,,other,ok
32025D1053,Commission_other,other,,technical_standard,ok
32025D1055,Commission_other,other,,technical_standard,ok
32025R0295,Commission_delegated,delegated_implementing,,technical_standard,ok
32025R0878,Commission_delegated,delegated_implementing,,technical_standard,ok
31985D0527,Commission_other,other,,other,ok
31986R4059,Council,ordinary_legislative,75.0,obligation,ok
31987D0105,Commission_other,other,,other,ok
31994D0527,Commission_other,other,,other,ok
31994D0694,Commission_other,other,,other,ok
31996D0655,Commission_other,infringement,93.0,prohibition,ok
31997D0751,Commission_other,other,,technical_standard,ok
31999D0494,Council,infringement,213.0,judicial_ruling,ok
32000D0299,Commission_other,other,,technical_standard,ok
32002D0676,EP_Council,ordinary_legislative,95.0,other,ok
32004D0073,Commission_other,other,,other,ok
32004H0345R(01),Commission_other,recommendation,211.0,recommendation,ok
32004L0113,Council,ordinary_legislative,13.0,prohibition,ok
32005D0851,Council,other,,other,ok
32005R0184,EP_Council,ordinary_legislative,285.0,obligation,ok
32006D0375,Commission_other,other,,other,ok
32006D0500,Council,treaty,,obligation,ok
32007D0799,Council,other,71.0,obligation,ok
32007L0059R(01),EP_Council,ordinary_legislative,71.0,obligation,ok
32008R1099R(02),EP_Council,ordinary_legislative,285.0,obligation,ok
32009L0119,Council,ordinary_legislative,100.0,obligation,ok
32009L0119R(02),Council,ordinary_legislative,100.0,obligation,ok
32009R0619,Commission_other,delegated_implementing,,prohibition,ok
32009R0707,Commission_other,delegated_implementing,,technical_standard,ok
32010D0267,Commission_other,delegated_implementing,,technical_standard,ok
32010D0792,Commission_other,other,,other,ok
32013D0788,EP_Council,ordinary_legislative,,obligation,ok
32015D0218,Commission_other,infringement,108.0,prohibition,ok
32015D0457,Council,ordinary_legislative,352.0,other,ok
32015D1111,Commission_implementing,delegated_implementing,,technical_standard,ok
32016D0687R(02),Commission_implementing,delegated_implementing,,technical_standard,ok
32016D1353,Council,other,,obligation,ok
32016D2240R(01),Council,other,,other,ok
32016R1719,Commission_implementing,delegated_implementing,,technical_standard,ok
32017L0433,Commission_other,delegated_implementing,,technical_standard,ok
32017L2455R(02),Council,ordinary_legislative,113.0,obligation,ok
32017R0391,Commission_delegated,delegated_implementing,,technical_standard,ok
32017R0394R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
32018D0491,Commission_implementing,delegated_implementing,,technical_standard,ok
32018D1616,Commission_other,infringement,108.0,prohibition,ok
32018D1797,Council,other,,obligation,ok
32018R0389,Commission_delegated,delegated_implementing,,technical_standard,ok
32019D1275,Commission_implementing,delegated_implementing,,technical_standard,ok
32019D1279,Commission_implementing,delegated_implementing,,other,ok
32019D1280,Commission_implementing,delegated_implementing,,technical_standard,ok
32019D1281,Commission_implementing,delegated_implementing,,other,ok
32019D1291,Commission_implementing,delegated_implementing,,technical_standard,ok
32019D1345,Commission_implementing,delegated_implementing,,technical_standard,ok
