Id,Label,Year,LegalType,Era,Decade,PipelineLevel,SeedConceptCount
32023R1650,32023R1650,2023.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32024D0828,32024D0828,2024.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32024D2840,32024D2840,2024.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32024L1226,32024L1226,2024.0,Directive,2020s,2020.0,L2_seed_eurovoc,1
32024L2839,32024L2839,2024.0,Directive,2020s,2020.0,L2_seed_eurovoc,1
32025D0704,32025D0704,2025.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
31983H0419,31983H0419,1983.0,Legislative_Act,Pre-Single European Act,1980.0,L2_seed_eurovoc,1
31990Y0707(02),31990Y070702,1990.0,Legislative_Act,Pre-Maastricht,1990.0,L2_seed_eurovoc,1
31994D0244,31994D0244,1994.0,Decision,1990s,1990.0,L2_seed_eurovoc,1
32000D0354R(02),32000D0354,2000.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,1
32001D0432,32001D0432,2001.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,1
32005E0329,32005E0329,2005.0,Legislative_Act,Late 2000s,2000.0,L2_seed_eurovoc,1
32006R0474R(01),32006R0474,2006.0,Regulation,Late 2000s,2000.0,L2_seed_eurovoc,1
32007D0193,32007D0193,2007.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,2
32010D0212,32010D0212,2010.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32014R1299R(02),32014R1299,2014.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,1
32015D1835,32015D1835,2015.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32015L2366,32015L2366,2015.0,Directive,Late 2010s,2010.0,L2_seed_eurovoc,1
32015R0020,32015R0020,2015.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32016R1710,32016R1710,2016.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32017L2455R(04),32017L2455,2017.0,Directive,Late 2010s,2010.0,L2_seed_eurovoc,1
32017R0393,32017R0393,2017.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32017R1800,32017R1800,2017.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32018D1723,32018D1723,2018.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32019D0784,32019D0784,2019.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,2
32019D1274,32019D1274,2019.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32019D1278,32019D1278,2019.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32019D1577,32019D1577,2019.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32019D1909,32019D1909,2019.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,2
32019R0503,32019R0503,2019.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32019R2175R(02),32019R2175,2019.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32020D0373R(01),32020D0373,2020.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32020D2228,32020D2228,2020.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32021L1047,32021L1047,2021.0,Directive,2020s,2020.0,L2_seed_eurovoc,1
32022D0810R(01),32022D0810,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32022R1214,32022R1214,2022.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32023D0598,32023D0598,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32023D1336,32023D1336,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32023R0736,32023R0736,2023.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32023R2779,32023R2779,2023.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32024D2383,32024D2383,2024.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32024D2521,32024D2521,2024.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32024D2864,32024D2864,2024.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32024O2798,32024O2798,2024.0,Legislative_Act,2020s,2020.0,L2_seed_eurovoc,1
32024R1679,32024R1679,2024.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2
32024R2000,32024R2000,2024.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2
32024R2024,32024R2024,2024.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32024R2981,32024R2981,2024.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32025D0887,32025D0887,2025.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
31978D0154,31978D0154,1978.0,Decision,Pre-Single European Act,1970.0,L2_seed_eurovoc,1
31994L0022,31994L0022,1994.0,Directive,1990s,1990.0,L2_seed_eurovoc,1
31996L0067,31996L0067,1996.0,Directive,1990s,1990.0,L2_seed_eurovoc,1
32001D0546,32001D0546,2001.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,2
32003D0790,32003D0790,2003.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,1
32004D0090,32004D0090,2004.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,1
32004D0822,32004D0822,2004.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,1
32004L0066,32004L0066,2004.0,Directive,Early 2000s,2000.0,L2_seed_eurovoc,1
32006L0038R(03),32006L0038,2006.0,Directive,Late 2000s,2000.0,L2_seed_eurovoc,1
32007H0078,32007H0078,2007.0,Legislative_Act,Late 2000s,2000.0,L2_seed_eurovoc,1
32009D0460R(01),32009D0460,2009.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32009D0548,32009D0548,2009.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32009D0739,32009D0739,2009.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32010D0018(01),32010D001801,2010.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32012H0798,32012H0798,2012.0,Legislative_Act,Early 2010s,2010.0,L2_seed_eurovoc,1
32012L0034R(04),32012L0034,2012.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,2
32012L0034R(08),32012L0034,2012.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,2
32012R0272,32012R0272,2012.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,1
32014D0524,32014D0524,2014.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32014L0051R(04),32014L0051,2014.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,1
32014R1299R(03),32014R1299,2014.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,1
32017D0177,32017D0177,2017.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,2
32017D0178,32017D0178,2017.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,2
32017R2177,32017R2177,2017.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,2
32017R2459,32017R2459,2017.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32018R1108,32018R1108,2018.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32018R1999R(01),32018R1999,2018.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32019D0327(01),32019D032701,2019.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32019R0758,32019R0758,2019.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32019R0881R(01),32019R0881,2019.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32019R1148R(04),32019R1148,2019.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32021D0891,32021D0891,2021.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32021D1428,32021D1428,2021.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32021R0379R(02),32021R0379,2021.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32021R0453R(03),32021R0453,2021.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32021R0697R(01),32021R0697,2021.0,Regulation,2020s,2020.0,L2_seed_eurovoc,3
32022D0620(02),32022D062002,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32022D2445,32022D2445,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32022R0432,32022R0432,2022.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32023D0177,32023D0177,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32024D03936,32024D03936,2024.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32024R0298,32024R0298,2024.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32025D0799,32025D0799,2025.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32025D1058,32025D1058,2025.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
31980D1350,31980D1350,1980.0,Decision,Pre-Single European Act,1980.0,L2_seed_eurovoc,1
31981D0375,31981D0375,1981.0,Decision,Pre-Single European Act,1980.0,L2_seed_eurovoc,1
31984D0520,31984D0520,1984.0,Decision,Pre-Single European Act,1980.0,L2_seed_eurovoc,1
31985D0069,31985D0069,1985.0,Decision,Pre-Single European Act,1980.0,L2_seed_eurovoc,1
31985D0530,31985D0530,1985.0,Decision,Pre-Single European Act,1980.0,L2_seed_eurovoc,1
31987H0371,31987H0371,1987.0,Legislative_Act,Pre-Maastricht,1980.0,L2_seed_eurovoc,2
31989D0630,31989D0630,1989.0,Decision,Pre-Maastricht,1980.0,L2_seed_eurovoc,1
31992Y0625(01),31992Y062501,1992.0,Legislative_Act,Pre-Maastricht,1990.0,L2_seed_eurovoc,1
31997D0545,31997D0545,1997.0,Decision,1990s,1990.0,L2_seed_eurovoc,1
31998D0535,31998D0535,1998.0,Decision,1990s,1990.0,L2_seed_eurovoc,1
31998D0828(01),31998D082801,1998.0,Decision,1990s,1990.0,L2_seed_eurovoc,1
32001D0098,32001D0098,2001.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,1
32002E0589R(01),32002E0589,2002.0,Legislative_Act,Early 2000s,2000.0,L2_seed_eurovoc,1
32002G0216(02),32002G021602,2002.0,Legislative_Act,Early 2000s,2000.0,L2_seed_eurovoc,1
32004D0821,32004D0821,2004.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,1
32006D0558,32006D0558,2006.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32006D0951,32006D0951,2006.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32008D0477,32008D0477,2008.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32008E0944R(01),32008E0944,2008.0,Legislative_Act,Late 2000s,2000.0,L2_seed_eurovoc,1
32009D0512,32009D0512,2009.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32009D1007,32009D1007,2009.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32010D0462R(01),32010D0462,2010.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32011D0519,32011D0519,2011.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32011L0076,32011L0076,2011.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,1
32011R0176,32011R0176,2011.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,1
32012D0281(01),32012D028101,2012.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32013A0824(01),32013A082401,2013.0,Legislative_Act,Early 2010s,2010.0,L2_seed_eurovoc,1
32013D0041(01),32013D004101,2013.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32013D0233R(01),32013D0233,2013.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32013L0048,32013L0048,2013.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,1
32014D0016,32014D0016,2014.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32014D0641,32014D0641,2014.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32014H0881R(01),32014H0881,2014.0,Legislative_Act,Early 2010s,2010.0,L2_seed_eurovoc,1
32014L0061,32014L0061,2014.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,1
32014R0275R(01),32014R0275,2014.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,1
32015D1780,32015D1780,2015.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32015L2366R(01),32015L2366,2015.0,Directive,Late 2010s,2010.0,L2_seed_eurovoc,1
32017R2177R(01),32017R2177,2017.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,2
32018D0496,32018D0496,2018.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32018L1972R(02),32018L1972,2018.0,Directive,Late 2010s,2010.0,L2_seed_eurovoc,1
32018R1207,32018R1207,2018.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32019D0504R(01),32019D0504,2019.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32020D0414,32020D0414,2020.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32021D0394,32021D0394,2021.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32021D2134,32021D2134,2021.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32021R1950,32021R1950,2021.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32022D0118,32022D0118,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32022D0173,32022D0173,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32022D0339R(02),32022D0339,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32022D0895,32022D0895,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32022D1002,32022D1002,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32022R1032,32022R1032,2022.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32022R1409,32022R1409,2022.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32023D0179,32023D0179,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32023D0920,32023D0920,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32023D1304,32023D1304,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32023R0706,32023R0706,2023.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32024R2690,32024R2690,2024.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2
32024R3144,32024R3144,2024.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32025R0301,32025R0301,2025.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
31971Y0119(01),31971Y011901,1971.0,Legislative_Act,Pre-Single European Act,1970.0,L2_seed_eurovoc,1
31975Y0709(04),31975Y070904,1975.0,Legislative_Act,Pre-Single European Act,1970.0,L2_seed_eurovoc,1
31977H0714,31977H0714,1977.0,Legislative_Act,Pre-Single European Act,1970.0,L2_seed_eurovoc,1
31984H0549,31984H0549,1984.0,Legislative_Act,Pre-Single European Act,1980.0,L2_seed_eurovoc,1
31989Y0720(01),31989Y072001,1989.0,Legislative_Act,Pre-Maastricht,1980.0,L2_seed_eurovoc,1
31991D0251,31991D0251,1991.0,Decision,Pre-Maastricht,1990.0,L2_seed_eurovoc,2
31993Y1216(01),31993Y121601,1993.0,Legislative_Act,1990s,1990.0,L2_seed_eurovoc,1
31994D0424,31994D0424,1994.0,Decision,1990s,1990.0,L2_seed_eurovoc,1
31996E0668,31996E0668,1996.0,Legislative_Act,1990s,1990.0,L2_seed_eurovoc,1
31999D0645,31999D0645,1999.0,Decision,1990s,1990.0,L2_seed_eurovoc,1
31999D0847,31999D0847,1999.0,Decision,1990s,1990.0,L2_seed_eurovoc,1
32000D0054,32000D0054,2000.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,1
32000D0354R(01),32000D0354,2000.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,1
32005H0698,32005H0698,2005.0,Legislative_Act,Late 2000s,2000.0,L2_seed_eurovoc,2
32006D0771(01),32006D077101,2006.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32007D0446,32007D0446,2007.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32008F0909R(01),32008F0909,2008.0,Legislative_Act,Late 2000s,2000.0,L2_seed_eurovoc,1
32008L0096R(02),32008L0096,2008.0,Directive,Late 2000s,2000.0,L2_seed_eurovoc,1
32009D0460,32009D0460,2009.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,2
32011D0713,32011D0713,2011.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32012D0243,32012D0243,2012.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,2
32012L0034,32012L0034,2012.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,2
32012L0034R(07),32012L0034,2012.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,2
32014D0276R(01),32014D0276,2014.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32014H0881,32014H0881,2014.0,Legislative_Act,Early 2010s,2010.0,L2_seed_eurovoc,1
32014L0108,32014L0108,2014.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,1
32014R0756,32014R0756,2014.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,1
32016D0339,32016D0339,2016.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,2
32016L0970,32016L0970,2016.0,Directive,Late 2010s,2010.0,L2_seed_eurovoc,2
32017D0704(01),32017D070401,2017.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32017D2315R(01),32017D2315,2017.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32017R1084R(05),32017R1084,2017.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32017R1354R(01),32017R1354,2017.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32017R1485,32017R1485,2017.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32018D0661R(01),32018D0661,2018.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32018D0777,32018D0777,2018.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32018D1538,32018D1538,2018.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,2
32018D1797R(02),32018D1797,2018.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,2
32018R1999R(05),32018R1999,2018.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32019R0505,32019R0505,2019.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,2
32020D0590,32020D0590,2020.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32020D1479,32020D1479,2020.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32020R0736R(01),32020R0736,2020.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32020R1056,32020R1056,2020.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32021D1886R(01),32021D1886,2021.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32021R0379R(01),32021R0379,2021.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32021R0453R(02),32021R0453,2021.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32021R0782R(01),32021R0782,2021.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32022D0767,32022D0767,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32022D1367,32022D1367,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32023D0176,32023D0176,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32023D2481,32023D2481,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32023D2524,32023D2524,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32023R1717,32023R1717,2023.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32024D0350,32024D0350,2024.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32024L1640,32024L1640,2024.0,Directive,2020s,2020.0,L2_seed_eurovoc,1
32024R1774,32024R1774,2024.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
31972Y1011(01),31972Y101101,1972.0,Legislative_Act,Pre-Single European Act,1970.0,L2_seed_eurovoc,1
31986R4058,31986R4058,1986.0,Regulation,Pre-Single European Act,1980.0,L2_seed_eurovoc,1
31991H0288,31991H0288,1991.0,Legislative_Act,Pre-Maastricht,1990.0,L2_seed_eurovoc,1
31994D0414,31994D0414,1994.0,Decision,1990s,1990.0,L2_seed_eurovoc,1
31996R2271,31996R2271,1996.0,Regulation,1990s,1990.0,L2_seed_eurovoc,1
31997D0310,31997D0310,1997.0,Decision,1990s,1990.0,L2_seed_eurovoc,1
31998D0388,31998D0388,1998.0,Decision,1990s,1990.0,L2_seed_eurovoc,1
31998H0322,31998H0322,1998.0,Legislative_Act,1990s,1990.0,L2_seed_eurovoc,1
31999D0511,31999D0511,1999.0,Decision,1990s,1990.0,L2_seed_eurovoc,2
32003D0834,32003D0834,2003.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,1
32005D0012,32005D0012,2005.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32006D0355,32006D0355,2006.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32006L0038R(01),32006L0038,2006.0,Directive,Late 2000s,2000.0,L2_seed_eurovoc,2
32007D0258,32007D0258,2007.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32007D0784,32007D0784,2007.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32008D0432R(01),32008D0432,2008.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32008F0909R(06),32008F0909,2008.0,Legislative_Act,Late 2000s,2000.0,L2_seed_eurovoc,1
32009L0081,32009L0081,2009.0,Directive,Late 2000s,2000.0,L2_seed_eurovoc,1
32010D0368,32010D0368,2010.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32010R0590,32010R0590,2010.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,1
32012L0013R(01),32012L0013,2012.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,1
32012L0034R(02),32012L0034,2012.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,2
32012L0034R(03),32012L0034,2012.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,1
32013D0195,32013D0195,2013.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32013R0606,32013R0606,2013.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,1
32013R1042R(01),32013R1042,2013.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,1
32013R1075,32013R1075,2013.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,1
32014D0641R(01),32014D0641,2014.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32015D1055,32015D1055,2015.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32015L2366R(05),32015L2366,2015.0,Directive,Late 2010s,2010.0,L2_seed_eurovoc,1
32017D0899,32017D0899,2017.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,2
32017D1483,32017D1483,2017.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,2
32017D2075,32017D2075,2017.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,2
32019D0327(02),32019D032702,2019.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
