Id,layer,confidence,motivation,input_source,classification_status,dominant_layer,purity,G1,G2,G3,G4,G5
32021D0689R(01),,,Decisione del Consiglio su accordi internazionali,preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32021L1047,,,"Aggiornamento tecnico di allegato, riferimenti a trattati e linee guida",preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32021R0732,,,Atto delegato con dettagli tecnici e riferimenti ai trattati,preamble,ok,G3,0.9,10.0,0.0,90.0,0.0,0.0
32021R0883,,,Regolamento tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32021R2228,,,Atto tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32022D0288,,,Implementazione tecnica di decisione quadro,preamble,ok,G3,0.7,10.0,20.0,70.0,0.0,0.0
32022D0636,,,Decisione quadro con riferimenti a trattati e modifiche tecniche,preamble,ok,G2,0.8,10.0,80.0,5.0,0.0,5.0
32024D2709,,,Decisione quadro con riferimenti a trattati e allegati tecnici,preamble,ok,G2,0.8,10.0,80.0,5.0,5.0,0.0
32024D2869,,,Decisione del Consiglio su comitati e gruppi di lavoro,preamble,ok,G2,0.7,10.0,70.0,20.0,0.0,0.0
32024D3096R(01),,,Decisione quadro con riferimenti ai Trattati,preamble,ok,G2,0.8,10.0,80.0,5.0,5.0,0.0
32024R1778,,,Regolamento quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,10.0,5.0,5.0
32024R1787,,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,10.0,10.0,0.0
32024R3172,,,Regolamento di esecuzione con riferimenti ai trattati,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32025D0138,,,Atto tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32025D1049,,,Atto tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.5,10.0,30.0,50.0,10.0,0.0
32025D1059,,,Atto tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.5,10.0,30.0,50.0,10.0,0.0
32025R0343,,,Atto tecnico basato su regolamento quadro,preamble,ok,G3,0.9,10.0,0.0,90.0,0.0,0.0
32004D0732,,,Riferimenti a trattati e procedure operative,preamble,ok,G2,0.4,20.0,40.0,30.0,10.0,0.0
32004L0113R(03),,,Principi fondanti e riferimenti a trattati,preamble,ok,G1,0.7,70.0,20.0,0.0,10.0,0.0
32005H0885,,,Atto tecnico con riferimenti a principi e regole,preamble,ok,G3,0.4,10.0,30.0,40.0,10.0,10.0
32006D0355R(01),,,"Riferimenti a trattati, istituzione gruppo, dettagli tecnici",preamble,ok,G2,0.4,20.0,40.0,30.0,10.0,0.0
32006D0592,,,Decisione quadro con riferimento ai Trattati,preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32006L0103R(01),,,"Adattamento atti per accessione, quadro legislativo",preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32007L0016,,,Regolamento tecnico per uniformare definizioni,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32008E0307,,,Legge quadro con riferimenti a principi e misure tecniche,preamble,ok,G2,0.6,20.0,60.0,10.0,10.0,0.0
32008E0588,,,Principi fondanti e quadro legislativo,preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32008L0063,,,Direttiva di codifica con principi e regole operative,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32009D0022,,,Decisione del Consiglio con base nei Trattati,preamble,ok,G2,0.9,10.0,90.0,0.0,0.0,0.0
32009D0381,,,Regolamento tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32009D0515,,,Decisione del Consiglio che approva accordo internazionale,preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32009D0703,,,Decisione di infrazione con riferimento ai trattati,preamble,ok,G5,0.9,10.0,0.0,0.0,0.0,90.0
32009L0081R(03),,,Principi e regole quadro con dettagli tecnici,preamble,ok,G2,0.6,20.0,60.0,10.0,10.0,0.0
32009L0110,,,Direttiva quadro con riferimenti ai trattati,preamble,ok,G2,0.7,10.0,70.0,10.0,10.0,0.0
32010D0461,,,Atto legislativo quadro con riferimenti ai trattati,preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32010D0799,,,Principi e obiettivi politici generali,preamble,ok,G2,0.5,40.0,50.0,0.0,10.0,0.0
32011H0750,,,"Cita trattati, stabilisce regole, dettagli tecnici, linee guida.",preamble,ok,G3,0.4,10.0,30.0,40.0,20.0,0.0
32011R1332R(01),,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32012D0462,,,Atto tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32012L0034R(09),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32013D0654,,,Atto tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32014D0415,,,Decisione quadro con principi e coordinamento,preamble,ok,G2,0.7,20.0,70.0,5.0,5.0,0.0
32014R0514R(04),,,Legge quadro con principi fondanti e dettagli tecnici,preamble,ok,G2,0.7,20.0,70.0,5.0,5.0,0.0
32014R0909R(05),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32014R1299,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32015D1141,,,Decisione del Consiglio con riferimenti ai Trattati e dettagli operativi,preamble,ok,G2,0.7,10.0,70.0,10.0,10.0,0.0
32015R1977,,,Regolamento di esecuzione tecnico-operativo,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32015R2322,,,Regolamento tecnico con riferimenti a trattati e linee guida,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32016D0204,,,Decisione del Consiglio con riferimenti a trattati e regolamenti tecnici,preamble,ok,G2,0.6,10.0,60.0,20.0,10.0,0.0
32016D1352,,,Decisione quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32016R0963,,,Regolamento tecnico con riferimenti a trattati e linee guida,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32016R1375,,,Regolamento delegato con allegati tecnici,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32017D1985,,,Atto di esecuzione tecnica con riferimenti a principi,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32017L2455R(05),,,"Direttiva con principi, regole e dettagli tecnici",preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32017R0394,,,Regolamento tecnico basato su delega,preamble,ok,G3,0.9,10.0,0.0,90.0,0.0,0.0
32017R1354,,,Regolamento di esecuzione tecnica,preamble,ok,G3,0.9,10.0,0.0,90.0,0.0,0.0
32017R1538,,,Atto tecnico con riferimenti a regolamenti e standard,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32017R2055,,,Regolamento tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32022D0706,,,Regolamento tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32022D0810R(01),,,Decisione del Consiglio con riferimenti ai Trattati,preamble,ok,G2,0.8,10.0,80.0,5.0,0.0,5.0
32022D2571,,,Decisione del Consiglio su posizione EEA,preamble,ok,G2,0.7,10.0,70.0,10.0,5.0,5.0
32022R1214,,,Delegato tecnico con riferimenti a trattati e linee guida,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32022R2554R(05),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32023D0376,,,Regolamento delegato con dettagli tecnici e riferimenti a trattati,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32023D0598,,,Decisione del Consiglio con base nel Trattato,preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32023D1336,,,Atto tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32023D2671,,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32023R0736,,,Atto di esecuzione tecnica con riferimenti a regolamenti,preamble,ok,G3,0.7,10.0,20.0,70.0,0.0,0.0
32023R1525,,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32023R2779,,,Regolamento delegato con dettagli tecnici e riferimenti ai trattati.,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32024D0336,,,Decisione del Consiglio con riferimenti ai Trattati,preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32024D2383,,,Regolamento delegato con dettagli tecnici e riferimenti ai trattati.,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32024D2521,,,Decisione quadro con principi e dettagli operativi,preamble,ok,G2,0.6,20.0,60.0,10.0,10.0,0.0
32024D2864,,,Decisione di infrazione con riferimento ai Trattati,preamble,ok,G5,0.9,10.0,0.0,0.0,0.0,90.0
32024O2798,,,Regolamento quadro con riferimenti ai trattati e dettagli tecnici,preamble,ok,G2,0.6,10.0,60.0,30.0,0.0,0.0
32024R1183R(01),,,Legge quadro con riferimenti a principi e dettagli,preamble,ok,G2,0.8,10.0,80.0,5.0,5.0,0.0
32024R1366,,,Delegato tecnico con principi e linee guida,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32024R1505,,,Regolamento delegato con dettagli tecnici e principi,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32024R1601,,,Regolamento tecnico per aggiornare liste,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32024R1679,,,Legge quadro con riferimenti a principi e dettagli tecnici,preamble,ok,G2,0.7,20.0,70.0,5.0,5.0,0.0
32024R2000,,,Regolamento di esecuzione tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32024R2024,,,Regolamento delegato con dettagli tecnici e riferimenti ai trattati,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32024R2981,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32025D0887,,,Decisione CFSP con estensione e aggiornamento,preamble,ok,G2,0.7,10.0,70.0,20.0,0.0,0.0
32025D1060,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32004D0822,,,Decisione operativa con riferimenti a principi e procedure,preamble,ok,G2,0.6,10.0,60.0,20.0,10.0,0.0
32004L0066,,,Principi trattati e regole quadro operative,preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32005D0050,,,Atto quadro con riferimenti a trattati e dettagli tecnici,preamble,ok,G2,0.6,10.0,60.0,20.0,10.0,0.0
32005D0923,,,Cita trattati e stabilisce obiettivi generali,preamble,ok,G2,0.6,40.0,60.0,0.0,0.0,0.0
32006L0038R(03),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.6,20.0,60.0,10.0,10.0,0.0
32007D0210,,,Decisione quadro con riferimenti ai trattati,preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32007H0078,,,Raccomandazione non vincolante con riferimenti ai Trattati,preamble,ok,G4,0.9,10.0,0.0,0.0,90.0,0.0
32008D0214,,,Decisione di infrazione con riferimenti procedurali,preamble,ok,G5,0.4,10.0,20.0,30.0,0.0,40.0
32008D0545,,,Decisione PSC basata su trattati e azioni comuni,preamble,ok,G2,0.6,10.0,60.0,20.0,10.0,0.0
32009D0460R(01),,,Regolamento tecnico con riferimenti a principi e direttive,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32009D0548,,,"Riferimenti a trattati e direttive quadro, dettagli tecnici",preamble,ok,G2,0.6,10.0,60.0,30.0,0.0,0.0
32009D0739,,,Atto tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.5,10.0,30.0,50.0,10.0,0.0
32009L0043,,,Legge quadro con riferimenti ai trattati,preamble,ok,G2,0.7,20.0,70.0,5.0,5.0,0.0
32010D0293,,,Atto misto con prevalenza tecnica e quadro,preamble,ok,G3,0.4,10.0,30.0,40.0,20.0,0.0
32010L0013R(02),,,Direttiva quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32011D0829,,,Atto tecnico con base legale e aggiornamenti,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32012D0688,,,Atto tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.4,10.0,30.0,40.0,20.0,0.0
32012H0798,,,Linee guida interpretative con riferimenti a principi e direttive,preamble,ok,G4,0.6,10.0,30.0,0.0,60.0,0.0
32012L0034R(04),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32012L0034R(08),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32012R0272,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32014D0524,,,Decisione di infrazione con riferimento ai Trattati,preamble,ok,G5,0.9,10.0,0.0,0.0,0.0,90.0
32014L0051R(04),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32014L0053R(01),,,Legge quadro con riferimenti a principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32014R0909R(07),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32014R1299R(03),,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32015D1065,,,Decisione CFSP con riferimenti ai Trattati,preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32016D0599,,,Regolamento di esecuzione con dettagli tecnici e riferimenti a norme quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32016D1107,,,Atto legislativo quadro con riferimenti ai Trattati,preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32016L0800,,,Direttiva con principi e regole operative,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32017D0177,,,Regolamento di esecuzione tecnica con riferimenti a principi,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32017D0178,,,Decisione di esecuzione tecnica con riferimenti ai trattati,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32017D2390,,,Atto tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32017L2455,,,"Direttiva con principi, regole e dettagli tecnici",preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32017L2455R(03),,,"Direttiva con principi, regole e dettagli tecnici",preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32017R1084R(02),,,Regolamento delegato con dettagli tecnici e riferimenti a principi,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32017R1110,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32017R2177,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.5,10.0,30.0,50.0,10.0,0.0
32017R2454R(02),,,Regolamento quadro con riferimenti ai trattati e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,20.0,0.0,0.0
32017R2459,,,Regolamento di esecuzione con riferimenti ai trattati,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32018D0909,,,Decisione quadro con principi e regole operative,preamble,ok,G2,0.7,10.0,70.0,10.0,10.0,0.0
32018L1808R(02),,,Legge quadro con riferimenti a trattati e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32018R1108,,,Atto delegato con dettagli tecnici e linee guida,preamble,ok,G3,0.4,10.0,30.0,40.0,20.0,0.0
32018R1999R(01),,,Regolamento quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32019R0630R(01),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32019R0758,,,Regolamento delegato con dettagli tecnici e riferimenti a principi,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32019R0881R(01),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,10.0,10.0,0.0
32019R0881R(03),,,Legge quadro con principi fondanti e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32019R0881R(06),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,10.0,10.0,0.0
32019R1148R(01),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32019R1148R(04),,,Legge quadro con riferimenti a principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32020D2152,,,Commissione stabilisce dettagli tecnici e tariffe,preamble,ok,G3,0.5,10.0,30.0,50.0,10.0,0.0
32020R1070,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32021D0891,,,Regolamento di esecuzione tecnico-operativo,preamble,ok,G3,1.0,0.0,0.0,100.0,0.0,0.0
32021D1210R(01),,,Legge quadro con principi e dettagli operativi,preamble,ok,G2,0.6,20.0,60.0,10.0,10.0,0.0
32021D1428,,,Decisione di infrazione con riferimenti ai trattati,preamble,ok,G5,0.7,10.0,20.0,0.0,0.0,70.0
32021D1743,,,Decisione del Consiglio con base giuridica e procedure,preamble,ok,G2,0.7,10.0,70.0,10.0,10.0,0.0
32021D1797,,,Decisione quadro con principi e allegati tecnici,preamble,ok,G2,0.6,20.0,60.0,10.0,10.0,0.0
32021D2008R(02),,,Decisione quadro con riferimenti a trattati e raccomandazioni,preamble,ok,G2,0.7,10.0,70.0,10.0,10.0,0.0
32021L1187,,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32021R0379R(02),,,"Riferimenti a trattati e regolamenti quadro, dettagli tecnici prevalenti",preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32021R0453R(03),,,Regolamento delegato con riferimenti ai trattati e linee guida,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32021R0697R(01),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32021R0782R(04),,,Legge quadro con riferimenti ai trattati,preamble,ok,G2,0.7,20.0,70.0,5.0,5.0,0.0
32022D2445,,,Decisione del Consiglio che estende mandato missione,preamble,ok,G2,0.8,10.0,80.0,5.0,5.0,0.0
32022L0362R(03),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32022R0030R(01),,,Regolamento tecnico con principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32022R0432,,,Direttiva che modifica norme IVA con allegati tecnici,preamble,ok,G2,0.6,10.0,60.0,30.0,0.0,0.0
32022R0670,,,Regolamento delegato con riferimenti a trattati e direttive,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32022R0828,,,Correzione tecnica di regolamento delegato,preamble,ok,G3,0.9,10.0,0.0,90.0,0.0,0.0
32023D0177,,,Regolamento di esecuzione con dettagli tecnici,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32023L2661,,,Legge quadro con riferimenti a principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,10.0,10.0,0.0
32024D03936,,,Decisione tecnica basata su direttiva,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32024D06798,,,Decisione tecnica con allegati operativi,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32024D1472,,,Legge quadro con principi e dettagli operativi,preamble,ok,G2,0.7,10.0,70.0,10.0,10.0,0.0
32024D2193,,,Decisione del Consiglio con riferimenti ai Trattati e dettagli operativi,preamble,ok,G2,0.7,10.0,70.0,20.0,0.0,0.0
32024R0264,,,Regolamento tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32024R0298,,,Regolamento delegato con dettagli tecnici,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32024R0595,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32024R1998,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32024R2690R(01),,,Regolamento tecnico che specifica direttiva,preamble,ok,G3,0.85,10.0,0.0,85.0,5.0,0.0
32025D0799,,,Decisione del Consiglio con riferimenti a trattati e regolamenti,preamble,ok,G2,0.6,20.0,60.0,20.0,0.0,0.0
32025D1058,,,Atto tecnico basato su regolamenti quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32025R0037,,,Regolamento quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32025R0038R(01),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,10.0,5.0,5.0
32004D0821,,,Decisione PSC con base legale e dettagli operativi,preamble,ok,G2,0.6,10.0,60.0,20.0,10.0,0.0
32004L0113R(02),,,Principi fondanti e riferimenti a trattati,preamble,ok,G1,0.7,70.0,20.0,0.0,10.0,0.0
